Accession_ID	InterPro_Count	InterPro_IDs	InterPro_Types_and_Names
Dcitr10g0556011	3	IPR036457;IPR015655;IPR001932	"HOMOLOGOUS_SUPERFAMILY:PPM-type_dom_sf";"FAMILY:PP2C";"DOMAIN:PPM-type_phosphatase_dom"
Dcitr05g1402011	7	IPR036396;IPR002401;IPR006075;IPR014746;IPR004413;IPR017959;IPR001128	"HOMOLOGOUS_SUPERFAMILY:Cyt_P450_sf";"FAMILY:Cyt_P450_E_grp-I";"DOMAIN:Asn/Gln-tRNA_Trfase_suB/E_cat";"HOMOLOGOUS_SUPERFAMILY:Gln_synth/guanido_kin_cat_dom";"FAMILY:Apn/Gln-ADT_bsu";"FAMILY:Asn/Gln-tRNA_amidoTrfase_suB/E";"FAMILY:Cyt_P450"
Dcitr05g0573011	1	IPR033199	"FAMILY:DDAH"
Dcitr02g1993011	8	IPR011009;IPR000719;IPR008271;IPR017892;IPR000961;IPR001849;IPR011993;IPR017441	"HOMOLOGOUS_SUPERFAMILY:Kinase-like_dom_sf";"DOMAIN:Prot_kinase_dom";"ACTIVE_SITE:Ser/Thr_kinase_AS";"DOMAIN:Pkinase_C";"DOMAIN:AGC-kinase_C";"DOMAIN:PH_domain";"HOMOLOGOUS_SUPERFAMILY:PH-like_dom_sf";"BINDING_SITE:Protein_kinase_ATP_BS"
Dcitr07g0443011	2	IPR036443;IPR001876	"HOMOLOGOUS_SUPERFAMILY:Znf_RanBP2_sf";"DOMAIN:Znf_RanBP2"
Dcitr05g0492011	7	IPR016092;IPR040457;IPR007259;IPR035903;IPR041470;IPR042241;IPR000361	"FAMILY:FeS_cluster_insertion";"DOMAIN:GCP_C";"FAMILY:GCP";"HOMOLOGOUS_SUPERFAMILY:HesB-like_dom_sf";"DOMAIN:GCP_N";"HOMOLOGOUS_SUPERFAMILY:GCP_C_sf";"DOMAIN:FeS_biogenesis"
Dcitr04g0132011	3	IPR036589;IPR017226;IPR003726	"HOMOLOGOUS_SUPERFAMILY:HCY_dom_sf";"FAMILY:Betaine-hCys_S-MeTrfase_BHMT";"DOMAIN:HCY_dom"
Dcitr02g1708011	1	IPR002404	"DOMAIN:IRS_PTB"
Dcitr06g0462017	5	IPR001356;IPR000047;IPR020479;IPR017970;IPR009057	"DOMAIN:Homeobox_dom";"CONSERVED_SITE:HTH_motif";"DOMAIN:Homeobox_metazoa";"CONSERVED_SITE:Homeobox_CS";"HOMOLOGOUS_SUPERFAMILY:Homeobox-like_sf"
Dcitr13g0389011	2	IPR000872;IPR002123	"FAMILY:Tafazzin";"DOMAIN:Plipid/glycerol_acylTrfase"
Dcitr00g1008011	5	IPR012133;IPR000262;IPR037396;IPR008259;IPR013785	"FAMILY:Alpha-hydoxy_acid_DH_FMN";"DOMAIN:FMN-dep_DH";"DOMAIN:FMN_HAD";"ACTIVE_SITE:FMN_hydac_DH_AS";"HOMOLOGOUS_SUPERFAMILY:Aldolase_TIM"
Dcitr07g0964011	1	IPR013087	"DOMAIN:Znf_C2H2_type"
Dcitr00g0874011	6	IPR016639;IPR040079;IPR036282;IPR036249;IPR004045;IPR010987	"FAMILY:GST_Omega/GSH";"FAMILY:Glutathione_S-Trfase";"HOMOLOGOUS_SUPERFAMILY:Glutathione-S-Trfase_C_sf";"HOMOLOGOUS_SUPERFAMILY:Thioredoxin-like_sf";"DOMAIN:Glutathione_S-Trfase_N";"DOMAIN:Glutathione-S-Trfase_C-like"
Dcitr06g0925012	4	IPR020845;IPR025110;IPR000873;IPR042099	"CONSERVED_SITE:AMP-binding_CS";"DOMAIN:AMP-bd_C";"DOMAIN:AMP-dep_Synth/Lig";"HOMOLOGOUS_SUPERFAMILY:AMP-dep_Synthh-like_sf"
Dcitr10g0193011	1	IPR020309	"FAMILY:Uncharacterised_CD034/YQF4"
Dcitr01g1546011	1	IPR026224	"FAMILY:DPCD"
Dcitr07g0493011	1	IPR001827	"CONSERVED_SITE:Homeobox_Antennapedia_CS"
Dcitr11g0343011	2	IPR006822;IPR011990	"FAMILY:Coatomer_esu";"HOMOLOGOUS_SUPERFAMILY:TPR-like_helical_dom_sf"
Dcitr02g0817011	3	IPR036639;IPR004203;IPR013288	"HOMOLOGOUS_SUPERFAMILY:Cyt_c_oxidase_su4_sf";"FAMILY:Cyt_c_oxidase_su4_fam";"FAMILY:Cyt_c_oxidase_su4"
Dcitr08g0872011	1	IPR004827	"DOMAIN:bZIP"
Dcitr09g0239011	3	IPR029058;IPR000734;IPR013818	"HOMOLOGOUS_SUPERFAMILY:AB_hydrolase";"FAMILY:TAG_lipase";"DOMAIN:Lipase/vitellogenin"
Dcitr06g0632011	2	IPR039653;IPR000537	"FAMILY:Prenyltransferase";"FAMILY:UbiA_prenyltransferase"
Dcitr08g0907011	3	IPR039199;IPR028091;IPR028097	"FAMILY:FAM91";"DOMAIN:FAM91_N_dom";"DOMAIN:FAM91_C_dom"
Dcitr08g1076011	4	IPR036028;IPR027350;IPR035653;IPR015827	"HOMOLOGOUS_SUPERFAMILY:SH3-like_dom_sf";"DOMAIN:GT23_dom";"DOMAIN:Fut8_SH3";"FAMILY:Fut8"
Dcitr13g0456011	6	IPR002719;IPR028309;IPR028310;IPR036915;IPR002720;IPR024599	"DOMAIN:RB_B";"FAMILY:RB_fam";"FAMILY:RBL1";"HOMOLOGOUS_SUPERFAMILY:Cyclin-like_sf";"DOMAIN:RB_A";"DOMAIN:RB_N"
Dcitr02g1185011	2	IPR015664;IPR004031	"FAMILY:P53_induced";"FAMILY:PMP22/EMP/MP20/Claudin"
Dcitr12g0332011	3	IPR039238;IPR035427;IPR004217	"FAMILY:Tim8/13";"HOMOLOGOUS_SUPERFAMILY:Tim10-like_dom_sf";"DOMAIN:Tim10-like"
Dcitr00g0192011	1	IPR003689	"FAMILY:ZIP"
Dcitr12g1044011	1	IPR009653	"FAMILY:Ksh1"
Dcitr09g0152011	5	IPR006140;IPR029752;IPR036291;IPR029753;IPR006139	"DOMAIN:D-isomer_DH_NAD-bd";"CONSERVED_SITE:D-isomer_DH_CS1";"HOMOLOGOUS_SUPERFAMILY:NAD(P)-bd_dom_sf";"CONSERVED_SITE:D-isomer_DH_CS";"DOMAIN:D-isomer_2_OHA_DH_cat_dom"
Dcitr02g0479011	5	IPR018121;IPR004162;IPR013083;IPR008974;IPR013010	"DOMAIN:7-in-absentia-prot_TRAF-dom";"FAMILY:SINA-like";"HOMOLOGOUS_SUPERFAMILY:Znf_RING/FYVE/PHD";"HOMOLOGOUS_SUPERFAMILY:TRAF-like";"DOMAIN:Znf_SIAH"
Dcitr08g0254011	2	IPR013087;IPR036236	"DOMAIN:Znf_C2H2_type";"HOMOLOGOUS_SUPERFAMILY:Znf_C2H2_sf"
Dcitr02g1010011	4	IPR009011;IPR039794;IPR026874;IPR036607	"HOMOLOGOUS_SUPERFAMILY:Man6P_isomerase_rcpt-bd_dom_sf";"FAMILY:Gtb1-like";"FAMILY:Glucosidase_2_bsu";"DOMAIN:PRKCSH"
Dcitr09g0358012	4	IPR017868;IPR014756;IPR001298;IPR013783	"REPEAT:Filamin/ABP280_repeat-like";"HOMOLOGOUS_SUPERFAMILY:Ig_E-set";"REPEAT:Filamin/ABP280_rpt";"HOMOLOGOUS_SUPERFAMILY:Ig-like_fold"
Dcitr01g0661011	2	IPR036259;IPR024989	"HOMOLOGOUS_SUPERFAMILY:MFS_trans_sf";"DOMAIN:MFS_assoc_dom"
Dcitr01g1472011	3	IPR016197;IPR008251;IPR000953	"HOMOLOGOUS_SUPERFAMILY:Chromo-like_dom_sf";"DOMAIN:Chromo_shadow_dom";"DOMAIN:Chromo/chromo_shadow_dom"
Dcitr06g1369012	5	IPR001895;IPR008937;IPR036964;IPR019804;IPR023578	"DOMAIN:RASGEF_cat_dom";"FAMILY:Ras-like_GEF";"HOMOLOGOUS_SUPERFAMILY:RASGEF_cat_dom_sf";"CONSERVED_SITE:Ras_G-nucl-exch_fac_CS";"HOMOLOGOUS_SUPERFAMILY:Ras_GEF_dom_sf"
Dcitr04g1668011	4	IPR017972;IPR036396;IPR001128;IPR002403	"CONSERVED_SITE:Cyt_P450_CS";"HOMOLOGOUS_SUPERFAMILY:Cyt_P450_sf";"FAMILY:Cyt_P450";"FAMILY:Cyt_P450_E_grp-IV"
Dcitr04g0788011	3	IPR029026;IPR029028;IPR005304	"HOMOLOGOUS_SUPERFAMILY:tRNA_m1G_MTases_N";"HOMOLOGOUS_SUPERFAMILY:Alpha/beta_knot_MTases";"FAMILY:Rbsml_bgen_MeTrfase_EMG1/NEP1"
Dcitr11g0903012	5	IPR011333;IPR012983;IPR038648;IPR011705;IPR000210	"HOMOLOGOUS_SUPERFAMILY:SKP1/BTB/POZ_sf";"DOMAIN:PHR";"HOMOLOGOUS_SUPERFAMILY:PHR_sf";"DOMAIN:BACK";"DOMAIN:BTB/POZ_dom"
Dcitr08g0222012	1	IPR012315	"DOMAIN:KASH"
Dcitr05g0124011	2	IPR013320;IPR001791	"HOMOLOGOUS_SUPERFAMILY:ConA-like_dom_sf";"DOMAIN:Laminin_G"
Dcitr05g0709011	3	IPR036396;IPR002401;IPR001128	"HOMOLOGOUS_SUPERFAMILY:Cyt_P450_sf";"FAMILY:Cyt_P450_E_grp-I";"FAMILY:Cyt_P450"
Dcitr06g1248011	6	IPR036388;IPR033077;IPR013761;IPR003118;IPR000418;IPR036390	"HOMOLOGOUS_SUPERFAMILY:WH-like_DNA-bd_sf";"FAMILY:Pokkuri";"HOMOLOGOUS_SUPERFAMILY:SAM/pointed_sf";"DOMAIN:Pointed_dom";"DOMAIN:Ets_dom";"HOMOLOGOUS_SUPERFAMILY:WH_DNA-bd_sf"
Dcitr03g2088011	5	IPR043136;IPR001841;IPR013083;IPR006573;IPR037962	"HOMOLOGOUS_SUPERFAMILY:B30.2/SPRY_sf";"DOMAIN:Znf_RING";"HOMOLOGOUS_SUPERFAMILY:Znf_RING/FYVE/PHD";"DOMAIN:NHR_dom";"FAMILY:Neuralized"
Dcitr05g1707011	3	IPR011009;IPR000719;IPR008271	"HOMOLOGOUS_SUPERFAMILY:Kinase-like_dom_sf";"DOMAIN:Prot_kinase_dom";"ACTIVE_SITE:Ser/Thr_kinase_AS"
Dcitr06g0559011	2	IPR026947;IPR026943	"DOMAIN:UBN_middle_dom";"FAMILY:Ubinuclein-2"
Dcitr03g1626011	1	IPR022284	"FAMILY:GPAT/DHAPAT"
Dcitr02g1068011	4	IPR011701;IPR038702;IPR036259;IPR000402	"FAMILY:MFS";"HOMOLOGOUS_SUPERFAMILY:Na/K_ATPase_sub_beta_sf";"HOMOLOGOUS_SUPERFAMILY:MFS_trans_sf";"FAMILY:Na/K_ATPase_sub_beta"
Dcitr02g1391011	3	IPR030445;IPR025789;IPR029063	"FAMILY:H3-K79_meTrfase";"DOMAIN:DOT1_dom";"HOMOLOGOUS_SUPERFAMILY:SAM-dependent_MTases"
Dcitr06g0168011	2	IPR016181;IPR000182	"HOMOLOGOUS_SUPERFAMILY:Acyl_CoA_acyltransferase";"DOMAIN:GNAT_dom"
Dcitr05g0590011	4	IPR001424;IPR036423;IPR018152;IPR024134	"DOMAIN:SOD_Cu_Zn_dom";"HOMOLOGOUS_SUPERFAMILY:SOD-like_Cu/Zn_dom_sf";"BINDING_SITE:SOD_Cu/Zn_BS";"FAMILY:SOD_Cu/Zn_/chaperone"
Dcitr06g0842011	2	IPR006693;IPR029058	"DOMAIN:AB_hydrolase_lipase";"HOMOLOGOUS_SUPERFAMILY:AB_hydrolase"
Dcitr01g1362011	2	IPR005055;IPR036682	"FAMILY:A10/PebIII";"HOMOLOGOUS_SUPERFAMILY:OS_D_A10/PebIII_sf"
Dcitr10g0825011	6	IPR000904;IPR016024;IPR032691;IPR032629;IPR023394;IPR035999	"DOMAIN:Sec7_dom";"HOMOLOGOUS_SUPERFAMILY:ARM-type_fold";"DOMAIN:Sec7_N";"DOMAIN:DCB_dom";"HOMOLOGOUS_SUPERFAMILY:Sec7_C_sf";"HOMOLOGOUS_SUPERFAMILY:Sec7_dom_sf"
Dcitr04g1390011	3	IPR020846;IPR036259;IPR005828	"DOMAIN:MFS_dom";"HOMOLOGOUS_SUPERFAMILY:MFS_trans_sf";"FAMILY:MFS_sugar_transport-like"
Dcitr01g1840011	4	IPR039852;IPR011989;IPR013932;IPR016024	"FAMILY:CAND1/CAND2";"HOMOLOGOUS_SUPERFAMILY:ARM-like";"DOMAIN:TATA-bd_TIP120";"HOMOLOGOUS_SUPERFAMILY:ARM-type_fold"
Dcitr03g1080012	4	IPR001926;IPR036052;IPR001216;IPR005857	"DOMAIN:PLP-dep";"HOMOLOGOUS_SUPERFAMILY:Trypto_synt_PLP_dependent";"BINDING_SITE:P-phosphate_BS";"FAMILY:Cysta_beta_synth"
Dcitr01g0555011	3	IPR027734;IPR001611;IPR032675	"FAMILY:DNAAF1";"REPEAT:Leu-rich_rpt";"HOMOLOGOUS_SUPERFAMILY:LRR_dom_sf"
Dcitr10g0501011	3	IPR023298;IPR006068;IPR030332	"HOMOLOGOUS_SUPERFAMILY:ATPase_P-typ_TM_dom_sf";"DOMAIN:ATPase_P-typ_cation-transptr_C";"FAMILY:SERCA1/2"
Dcitr05g0310011	3	IPR027417;IPR016491;IPR030379	"HOMOLOGOUS_SUPERFAMILY:P-loop_NTPase";"FAMILY:Septin";"DOMAIN:G_SEPTIN_dom"
Dcitr05g0299011	3	IPR030379;IPR016491;IPR027417	"DOMAIN:G_SEPTIN_dom";"FAMILY:Septin";"HOMOLOGOUS_SUPERFAMILY:P-loop_NTPase"
Dcitr00g0640011	4	IPR000194;IPR020003;IPR027417;IPR022879	"DOMAIN:ATPase_F1/V1/A1_a/bsu_nucl-bd";"ACTIVE_SITE:ATPase_a/bsu_AS";"HOMOLOGOUS_SUPERFAMILY:P-loop_NTPase";"FAMILY:V-ATPase_su_B/beta"
Dcitr01g1708011	2	IPR002347;IPR036291	"FAMILY:SDR_fam";"HOMOLOGOUS_SUPERFAMILY:NAD(P)-bd_dom_sf"
Dcitr03g1417011	2	IPR032443;IPR013083	"DOMAIN:RAWUL";"HOMOLOGOUS_SUPERFAMILY:Znf_RING/FYVE/PHD"
Dcitr02g1331011	1	IPR003409	"REPEAT:MORN"
Dcitr04g1157011	1	IPR008949	"HOMOLOGOUS_SUPERFAMILY:Isoprenoid_synthase_dom_sf"
Dcitr03g0570011	9	IPR016130;IPR003595;IPR020422;IPR029021;IPR000242;IPR000387;IPR029260;IPR026070;IPR000340	"ACTIVE_SITE:Tyr_Pase_AS";"DOMAIN:Tyr_Pase_cat";"DOMAIN:TYR_PHOSPHATASE_DUAL_dom";"HOMOLOGOUS_SUPERFAMILY:Prot-tyrosine_phosphatase-like";"DOMAIN:PTPase_domain";"DOMAIN:TYR_PHOSPHATASE_dom";"DOMAIN:DSPn";"FAMILY:CDC14";"DOMAIN:Dual-sp_phosphatase_cat-dom"
Dcitr12g0979011	1	IPR013087	"DOMAIN:Znf_C2H2_type"
Dcitr13g0450012	3	IPR001791;IPR013320;IPR039005	"DOMAIN:Laminin_G";"HOMOLOGOUS_SUPERFAMILY:ConA-like_dom_sf";"REPEAT:CSPG_rpt"
Dcitr04g1194012	2	IPR036128;IPR004343	"HOMOLOGOUS_SUPERFAMILY:Plus3-like_sf";"DOMAIN:Plus-3_dom"
Dcitr02g0239012	4	IPR004181;IPR013083;IPR023321;IPR038654	"DOMAIN:Znf_MIZ";"HOMOLOGOUS_SUPERFAMILY:Znf_RING/FYVE/PHD";"DOMAIN:PINIT";"HOMOLOGOUS_SUPERFAMILY:PINIT_sf"
Dcitr05g0234011	4	IPR013729;IPR010982;IPR036938;IPR001387	"DOMAIN:MBF1_N";"HOMOLOGOUS_SUPERFAMILY:Lambda_DNA-bd_dom_sf";"HOMOLOGOUS_SUPERFAMILY:P_Acid_Pase_2/haloperoxi_sf";"DOMAIN:Cro/C1-type_HTH"
Dcitr13g0581011	1	IPR013657	"FAMILY:UAA"
Dcitr09g0258011	1	IPR005636	"DOMAIN:DTW"
Dcitr07g0600011	8	IPR002083;IPR008974;IPR028889;IPR001394;IPR029346;IPR038765;IPR018200;IPR024729	"DOMAIN:MATH/TRAF_dom";"HOMOLOGOUS_SUPERFAMILY:TRAF-like";"DOMAIN:USP_dom";"DOMAIN:Peptidase_C19_UCH";"DOMAIN:USP_C";"HOMOLOGOUS_SUPERFAMILY:Papain-like_cys_pep_sf";"CONSERVED_SITE:USP_CS";"DOMAIN:USP7_ICP0-binding_dom"
Dcitr02g0756012	3	IPR021922;IPR036034;IPR001478	"DOMAIN:Par3/HAL_N";"HOMOLOGOUS_SUPERFAMILY:PDZ_sf";"DOMAIN:PDZ"
Dcitr03g0934011	1	IPR005312	"FAMILY:DUF1759"
Dcitr08g0812011	2	IPR006145;IPR020103	"DOMAIN:PsdUridine_synth_RsuA/RluA";"HOMOLOGOUS_SUPERFAMILY:PsdUridine_synth_cat_dom_sf"
Dcitr04g1178011	17	IPR035706;IPR043157;IPR042219;IPR027417;IPR026983;IPR041466;IPR041589;IPR004273;IPR043160;IPR013602;IPR041228;IPR042222;IPR024743;IPR024317;IPR041658;IPR042228;IPR035699	"DOMAIN:AAA_9";"HOMOLOGOUS_SUPERFAMILY:Dynein_AAA1S";"HOMOLOGOUS_SUPERFAMILY:AAA_lid_11_sf";"HOMOLOGOUS_SUPERFAMILY:P-loop_NTPase";"FAMILY:DHC_fam";"DOMAIN:Dynein_AAA5_ext";"DOMAIN:DNAH3_AAA_lid_1";"DOMAIN:Dynein_heavy_D6_P-loop";"HOMOLOGOUS_SUPERFAMILY:Dynein_C_barrel";"DOMAIN:Dynein_heavy_dom-2";"DOMAIN:Dynein_C";"HOMOLOGOUS_SUPERFAMILY:Dynein_2_N";"DOMAIN:Dynein_HC_stalk";"DOMAIN:Dynein_heavy_chain_D4_dom";"DOMAIN:AAA_lid_11";"HOMOLOGOUS_SUPERFAMILY:Dynein_2_C";"DOMAIN:AAA_6"
Dcitr04g1079011	2	IPR005599;IPR039521	"FAMILY:GPI_mannosylTrfase";"FAMILY:PIG-B/GPI10"
Dcitr11g0307011	2	IPR011335;IPR011604	"HOMOLOGOUS_SUPERFAMILY:Restrct_endonuc-II-like";"HOMOLOGOUS_SUPERFAMILY:Exonuc_phg/RecB_C"
Dcitr05g1730011	1	IPR000477	"DOMAIN:RT_dom"
Dcitr04g1635011	3	IPR036227;IPR005749;IPR021131	"HOMOLOGOUS_SUPERFAMILY:L18e/L15P_sf";"FAMILY:Ribosomal_L15_bac-type";"DOMAIN:Ribosomal_L18e/L15P"
Dcitr01g0646011	3	IPR043128;IPR012337;IPR010998	"HOMOLOGOUS_SUPERFAMILY:Rev_trsase/Diguanyl_cyclase";"HOMOLOGOUS_SUPERFAMILY:RNaseH-like_sf";"HOMOLOGOUS_SUPERFAMILY:Integrase_recombinase_N"
Dcitr03g0145012	3	IPR011856;IPR036167;IPR018593	"HOMOLOGOUS_SUPERFAMILY:tRNA_endonuc-like_dom_sf";"HOMOLOGOUS_SUPERFAMILY:tRNA_intron_Endo_cat-like_sf";"DOMAIN:tRNA-endonuc_su_Sen15"
Dcitr06g1009011	2	IPR022309;IPR039411	"FAMILY:Ribosomal_S8e/biogenesis_NSA2";"FAMILY:NSA2_fam"
Dcitr01g0950011	7	IPR018303;IPR006544;IPR023298;IPR023214;IPR001757;IPR004014;IPR008250	"PTM:ATPase_P-typ_P_site";"FAMILY:P-type_TPase_V";"HOMOLOGOUS_SUPERFAMILY:ATPase_P-typ_TM_dom_sf";"HOMOLOGOUS_SUPERFAMILY:HAD_sf";"FAMILY:P_typ_ATPase";"DOMAIN:ATPase_P-typ_cation-transptr_N";"HOMOLOGOUS_SUPERFAMILY:ATPase_P-typ_transduc_dom_A_sf"
Dcitr04g1259011	10	IPR035892;IPR001849;IPR011993;IPR021816;IPR027007;IPR026791;IPR043162;IPR027357;IPR010703;IPR043161	"HOMOLOGOUS_SUPERFAMILY:C2_domain_sf";"DOMAIN:PH_domain";"HOMOLOGOUS_SUPERFAMILY:PH-like_dom_sf";"DOMAIN:DOCK_C/D_N";"DOMAIN:DHR-1_domain";"FAMILY:DOCK";"HOMOLOGOUS_SUPERFAMILY:DOCK_C_lobe_C";"DOMAIN:DHR-2";"DOMAIN:DOCK_C";"HOMOLOGOUS_SUPERFAMILY:DOCK_C_lobe_A"
Dcitr05g0272011	5	IPR013783;IPR036179;IPR013098;IPR007110;IPR003599	"HOMOLOGOUS_SUPERFAMILY:Ig-like_fold";"HOMOLOGOUS_SUPERFAMILY:Ig-like_dom_sf";"DOMAIN:Ig_I-set";"DOMAIN:Ig-like_dom";"DOMAIN:Ig_sub"
Dcitr02g1455011	6	IPR035297;IPR036390;IPR036388;IPR040896;IPR000717;IPR040134	"FAMILY:PSMD12";"HOMOLOGOUS_SUPERFAMILY:WH_DNA-bd_sf";"HOMOLOGOUS_SUPERFAMILY:WH-like_DNA-bd_sf";"DOMAIN:RPN5_C";"DOMAIN:PCI_dom";"FAMILY:PSMD12/CSN4"
Dcitr01g1617011	3	IPR001478;IPR036034;IPR015482	"DOMAIN:PDZ";"HOMOLOGOUS_SUPERFAMILY:PDZ_sf";"FAMILY:Syntrophin"
Dcitr00g0401011	3	IPR040185;IPR012486;IPR021819	"FAMILY:Far11/STRP";"DOMAIN:Far11/STRP_N";"DOMAIN:Far11/STRP_C"
Dcitr03g0882011	2	IPR011989;IPR016024	"HOMOLOGOUS_SUPERFAMILY:ARM-like";"HOMOLOGOUS_SUPERFAMILY:ARM-type_fold"
Dcitr08g0412012	5	IPR028435;IPR016024;IPR000225;IPR011989;IPR028446	"FAMILY:Plakophilin/d_Catenin";"HOMOLOGOUS_SUPERFAMILY:ARM-type_fold";"REPEAT:Armadillo";"HOMOLOGOUS_SUPERFAMILY:ARM-like";"FAMILY:JAC-1"
Dcitr05g0599011	1	IPR013087	"DOMAIN:Znf_C2H2_type"
Dcitr06g1149011	4	IPR031570;IPR010508;IPR016024;IPR013320	"DOMAIN:DUF4704";"DOMAIN:DUF1088";"HOMOLOGOUS_SUPERFAMILY:ARM-type_fold";"HOMOLOGOUS_SUPERFAMILY:ConA-like_dom_sf"
Dcitr08g0371011	3	IPR015919;IPR020894;IPR002126	"HOMOLOGOUS_SUPERFAMILY:Cadherin-like_sf";"CONSERVED_SITE:Cadherin_CS";"DOMAIN:Cadherin-like_dom"
Dcitr01g1427011	3	IPR013021;IPR002587;IPR036291	"DOMAIN:Myo-inos-1-P_Synthase_GAPDH";"FAMILY:Myo-inos-1-P_Synthase";"HOMOLOGOUS_SUPERFAMILY:NAD(P)-bd_dom_sf"
Dcitr07g0236011	3	IPR004000;IPR004001;IPR043129	"FAMILY:Actin";"CONSERVED_SITE:Actin_CS";"HOMOLOGOUS_SUPERFAMILY:ATPase_NBD"
Dcitr09g0703011	3	IPR016024;IPR039762;IPR016021	"HOMOLOGOUS_SUPERFAMILY:ARM-type_fold";"FAMILY:Nmd2/UPF2";"HOMOLOGOUS_SUPERFAMILY:MIF4-like_sf"
Dcitr09g0533011	2	IPR001310;IPR036265	"FAMILY:Histidine_triad_HIT";"HOMOLOGOUS_SUPERFAMILY:HIT-like_sf"
Dcitr09g0220011	8	IPR022671;IPR022666;IPR012340;IPR008991;IPR014726;IPR022669;IPR002171;IPR014722	"CONSERVED_SITE:Ribosomal_L2_CS";"DOMAIN:Rbsml_prot_L2_RNA-bd_dom";"HOMOLOGOUS_SUPERFAMILY:NA-bd_OB-fold";"HOMOLOGOUS_SUPERFAMILY:Translation_prot_SH3-like_sf";"HOMOLOGOUS_SUPERFAMILY:Ribosomal_L2_dom3";"DOMAIN:Ribosomal_L2_C";"FAMILY:Ribosomal_L2";"HOMOLOGOUS_SUPERFAMILY:Rib_L2_dom2"
Dcitr06g0545011	4	IPR029425;IPR001611;IPR029424;IPR042320	"DOMAIN:MMS22L_N";"REPEAT:Leu-rich_rpt";"DOMAIN:MMS22L_C";"FAMILY:MMS22-like"
Dcitr01g1414011	1	IPR017946	"HOMOLOGOUS_SUPERFAMILY:PLC-like_Pdiesterase_TIM-brl"
Dcitr03g0992011	7	IPR006103;IPR013783;IPR008979;IPR036156;IPR041625;IPR017853;IPR006104	"DOMAIN:Glyco_hydro_2_cat";"HOMOLOGOUS_SUPERFAMILY:Ig-like_fold";"HOMOLOGOUS_SUPERFAMILY:Galactose-bd-like_sf";"HOMOLOGOUS_SUPERFAMILY:Beta-gal/glucu_dom_sf";"DOMAIN:Beta-mannosidase_Ig";"HOMOLOGOUS_SUPERFAMILY:Glycoside_hydrolase_SF";"DOMAIN:Glyco_hydro_2_N"
Dcitr01g1369011	2	IPR007577;IPR029044	"CONSERVED_SITE:GlycoTrfase_DXD_sugar-bd_CS";"HOMOLOGOUS_SUPERFAMILY:Nucleotide-diphossugar_trans"
Dcitr02g1579011	5	IPR036961;IPR036072;IPR027417;IPR010926;IPR001609	"HOMOLOGOUS_SUPERFAMILY:Kinesin_motor_dom_sf";"DOMAIN:MYSc_Myo1";"HOMOLOGOUS_SUPERFAMILY:P-loop_NTPase";"DOMAIN:Myosin_TH1";"DOMAIN:Myosin_head_motor_dom"
Dcitr04g0996011	1	IPR004835	"FAMILY:Chitin_synth"
Dcitr03g1669011	9	IPR001849;IPR002219;IPR020454;IPR011993;IPR017441;IPR011009;IPR015727;IPR008271;IPR000719	"DOMAIN:PH_domain";"DOMAIN:PE/DAG-bd";"DOMAIN:DAG/PE-bd";"HOMOLOGOUS_SUPERFAMILY:PH-like_dom_sf";"BINDING_SITE:Protein_kinase_ATP_BS";"HOMOLOGOUS_SUPERFAMILY:Kinase-like_dom_sf";"FAMILY:Protein_Kinase_C_mu-related";"ACTIVE_SITE:Ser/Thr_kinase_AS";"DOMAIN:Prot_kinase_dom"
Dcitr05g0691011	10	IPR036028;IPR003599;IPR036179;IPR013098;IPR013783;IPR003598;IPR036116;IPR003961;IPR007110;IPR001452	"HOMOLOGOUS_SUPERFAMILY:SH3-like_dom_sf";"DOMAIN:Ig_sub";"HOMOLOGOUS_SUPERFAMILY:Ig-like_dom_sf";"DOMAIN:Ig_I-set";"HOMOLOGOUS_SUPERFAMILY:Ig-like_fold";"DOMAIN:Ig_sub2";"HOMOLOGOUS_SUPERFAMILY:FN3_sf";"DOMAIN:FN3_dom";"DOMAIN:Ig-like_dom";"DOMAIN:SH3_domain"
Dcitr05g1294011	1	IPR032675	"HOMOLOGOUS_SUPERFAMILY:LRR_dom_sf"
Dcitr10g0545011	6	IPR004087;IPR035437;IPR002999;IPR004088;IPR036612;IPR033104	"DOMAIN:KH_dom";"HOMOLOGOUS_SUPERFAMILY:SNase_OB-fold_sf";"DOMAIN:Tudor";"DOMAIN:KH_dom_type_1";"HOMOLOGOUS_SUPERFAMILY:KH_dom_type_1_sf";"FAMILY:Akap1"
Dcitr09g0500011	2	IPR035979;IPR012677	"HOMOLOGOUS_SUPERFAMILY:RBD_domain_sf";"HOMOLOGOUS_SUPERFAMILY:Nucleotide-bd_a/b_plait_sf"
Dcitr06g0974011	6	IPR010987;IPR040079;IPR004045;IPR036282;IPR036249;IPR004046	"DOMAIN:Glutathione-S-Trfase_C-like";"FAMILY:Glutathione_S-Trfase";"DOMAIN:Glutathione_S-Trfase_N";"HOMOLOGOUS_SUPERFAMILY:Glutathione-S-Trfase_C_sf";"HOMOLOGOUS_SUPERFAMILY:Thioredoxin-like_sf";"DOMAIN:GST_C"
Dcitr11g0142011	1	IPR019333	"FAMILY:Int_cplx_su3"
