InterPro_ID	InterPro_Type_and_Name	Accession_Count	Accession_IDs
IPR000718	FAMILY:Peptidase_M13	26	Dcitr12g0925011;Dcitr02g1217011;Dcitr02g1384011;Dcitr02g2023011;Dcitr02g2018011;Dcitr02g2022011;Dcitr07g1236011;Dcitr03g0879011;Dcitr03g0877011;Dcitr03g0878011;Dcitr02g1383011;Dcitr01g1530011;Dcitr13g0598011;Dcitr07g1236015;Dcitr12g0923011;Dcitr01g1533011;Dcitr07g1236014;Dcitr00g0418011;Dcitr02g1217012;Dcitr01g0548011;Dcitr01g0248011;Dcitr07g1236012;Dcitr13g0595011;Dcitr13g0594011;Dcitr07g1236013;Dcitr01g0253011
IPR023950	FAMILY:Hmp	1	Dcitr00g0670011
IPR026730	FAMILY:Mitochondrial_IMP1	2	Dcitr06g0996011;Dcitr06g1014011
IPR040706	DOMAIN:Zf-MYST	6	Dcitr02g0580011;Dcitr07g0881011;Dcitr01g0710011;Dcitr06g0390011;Dcitr06g0388011;Dcitr02g0573011
IPR039542	DOMAIN:Erv_N	3	Dcitr04g0610011;Dcitr04g1200011;Dcitr04g0614011
IPR035647	HOMOLOGOUS_SUPERFAMILY:EFG_III/V	13	Dcitr03g1779011;Dcitr11g0519011;Dcitr04g0977011;Dcitr11g0522011;Dcitr04g1126011;Dcitr01g0977011;Dcitr01g0980011;Dcitr11g0525011;Dcitr06g1032011;Dcitr06g1035011;Dcitr11g0524011;Dcitr03g1772011;Dcitr01g0978011
IPR003952	BINDING_SITE:FRD_SDH_FAD_BS	1	Dcitr01g0983011
IPR037685	FAMILY:RBP11	1	Dcitr10g0992011
IPR040137	FAMILY:TENT4A	1	Dcitr10g0285011
IPR008646	FAMILY:Herpes_UL45-like	1	Dcitr02g1304011
IPR014830	DOMAIN:Glycolipid_transfer_prot_dom	3	Dcitr01g0919011;Dcitr01g0920012;Dcitr01g0920011
IPR041430	DOMAIN:ADD_ATRX	5	Dcitr04g0361011;Dcitr04g0171011;Dcitr04g1309011;Dcitr04g1305011;Dcitr04g0364011
IPR032454	DOMAIN:Histone_H2A_C	5	Dcitr10g0885011;Dcitr02g0535011;Dcitr06g0152011;Dcitr00g1373011;Dcitr04g1540011
IPR028283	DOMAIN:WASH-7_C	3	Dcitr00g1451011;Dcitr07g0764011;Dcitr07g0755011
IPR029321	FAMILY:INTS2	2	Dcitr01g1287011;Dcitr01g1285011
IPR036867	HOMOLOGOUS_SUPERFAMILY:R3H_dom_sf	6	Dcitr12g0823011;Dcitr07g1138011;Dcitr13g0253011;Dcitr07g1140011;Dcitr08g1077011;Dcitr03g1517011
IPR038586	HOMOLOGOUS_SUPERFAMILY:Tctex-1-like_sf	8	Dcitr13g0468011;Dcitr06g0361011;Dcitr06g0360011;Dcitr03g0740011;Dcitr03g0737011;Dcitr06g0359011;Dcitr10g1088011;Dcitr09g0169011
IPR019050	DOMAIN:FDF_dom	4	Dcitr10g0901011;Dcitr10g0901013;Dcitr10g0901012;Dcitr10g0910011
IPR041875	DOMAIN:Syntaxin-8_SNARE	1	Dcitr01g1452011
IPR027105	FAMILY:Prp31	3	Dcitr05g1065011;Dcitr05g1073011;Dcitr05g1070011
IPR011877	FAMILY:D_ribokin	2	Dcitr01g0111011;Dcitr12g0272011
IPR000884	REPEAT:TSP1_rpt	28	Dcitr13g0429011;Dcitr03g1828011;Dcitr08g0355011;Dcitr03g1953011;Dcitr02g1725011;Dcitr05g0118011;Dcitr13g0431011;Dcitr13g0430011;Dcitr08g0357011;Dcitr03g1895011;Dcitr13g0434011;Dcitr05g1337011;Dcitr02g0473011;Dcitr03g1887011;Dcitr03g1826011;Dcitr02g0475011;Dcitr02g0121011;Dcitr03g1527011;Dcitr02g0847011;Dcitr05g0344011;Dcitr02g0842011;Dcitr03g1525011;Dcitr03g1885011;Dcitr02g1410011;Dcitr00g1276011;Dcitr05g0343011;Dcitr13g0432011;Dcitr02g1724011
IPR027007	DOMAIN:DHR-1_domain	6	Dcitr01g1477011;Dcitr00g1361011;Dcitr04g1259011;Dcitr09g0401011;Dcitr00g0257011;Dcitr09g0396011
IPR013471	FAMILY:RNase_Z/BN	3	Dcitr07g0594011;Dcitr07g0906011;Dcitr07g0912011
IPR033378	FAMILY:BRICK1	1	Dcitr13g0675011
IPR026896	DOMAIN:CSTF_C	1	Dcitr01g2102011
IPR033524	ACTIVE_SITE:Glu/Leu/Phe/Val_DH_AS	2	Dcitr01g0896011;Dcitr00g0349011
IPR007526	DOMAIN:SWIRM	5	Dcitr02g0942011;Dcitr03g1634012;Dcitr03g1634011;Dcitr03g1635012;Dcitr03g1635011
IPR019455	DOMAIN:Acetolactate_synth_ssu_C	1	Dcitr00g0289011
IPR006762	FAMILY:Gtr1_RagA	4	Dcitr01g2058011;Dcitr03g0315011;Dcitr03g0322011;Dcitr01g2068011
IPR008401	FAMILY:Apc13	1	Dcitr09g0200011
IPR001326	CONSERVED_SITE:Transl_elong_EF1B_B/D_CS	2	Dcitr01g1397011;Dcitr01g0450011
IPR006806	FAMILY:NDUFA5	2	Dcitr13g0608011;Dcitr13g0609011
IPR033720	DOMAIN:EFTU_2	1	Dcitr12g0516011
IPR019163	FAMILY:THO_Thoc5	1	Dcitr10g1049011
IPR026906	REPEAT:LRR_5	6	Dcitr07g1166011;Dcitr03g1798011;Dcitr07g0979011;Dcitr10g0780011;Dcitr10g0781011;Dcitr01g2199011
IPR011765	DOMAIN:Pept_M16_N	12	Dcitr04g0432011;Dcitr09g0653011;Dcitr05g1172011;Dcitr00g1514011;Dcitr05g1169011;Dcitr03g1225011;Dcitr04g0113011;Dcitr09g0649011;Dcitr00g0553011;Dcitr00g0296011;Dcitr03g1235011;Dcitr03g1227011
IPR026682	FAMILY:AKT1S1	1	Dcitr06g1488011
IPR041534	DOMAIN:EF-hand_13	2	Dcitr09g0671011;Dcitr09g0671012
IPR004948	FAMILY:Nuc-triphosphatase_THEP1	2	Dcitr03g1638011;Dcitr03g1642011
IPR007667	DOMAIN:Hypoxia_induced_domain	2	Dcitr06g1548011;Dcitr03g1160011
IPR005011	FAMILY:SNU66/SART1	3	Dcitr02g0950011;Dcitr02g0953011;Dcitr02g0951011
IPR019985	FAMILY:Ribosomal_L23	1	Dcitr12g0182011
IPR015623	FAMILY:Arp3	1	Dcitr05g0212011
IPR001408	FAMILY:Gprotein_alpha_I	4	Dcitr13g0445011;Dcitr08g0972011;Dcitr13g0451011;Dcitr13g0448011
IPR028741	FAMILY:LATS1	2	Dcitr01g1980011;Dcitr01g1982011
IPR002124	FAMILY:Cyt_c_oxidase_su5b	4	Dcitr03g0143011;Dcitr13g0712011;Dcitr13g0715011;Dcitr03g0142011
IPR025958	FAMILY:SID1_TM_fam	1	Dcitr02g1640011
IPR018184	CONSERVED_SITE:Integrin_alpha_C_CS	2	Dcitr02g0533011;Dcitr02g0530011
IPR013632	DOMAIN:DNA_recomb/repair_Rad51_C	8	Dcitr03g0970011;Dcitr03g0968011;Dcitr12g0173011;Dcitr12g0594012;Dcitr12g0594011;Dcitr03g1197011;Dcitr03g1203011;Dcitr03g0972011
IPR012958	DOMAIN:CHD_N	1	Dcitr02g0261011
IPR003817	FAMILY:PS_Dcarbxylase	1	Dcitr01g1054011
IPR017907	CONSERVED_SITE:Znf_RING_CS	55	Dcitr05g1631011;Dcitr10g1053012;Dcitr10g1053013;Dcitr00g0238011;Dcitr04g0999012;Dcitr04g1105011;Dcitr11g0452011;Dcitr10g1053014;Dcitr05g1199011;Dcitr01g0190011;Dcitr10g0668011;Dcitr02g1838012;Dcitr10g1053011;Dcitr06g1179011;Dcitr01g1481011;Dcitr01g1489011;Dcitr08g0533011;Dcitr05g1469011;Dcitr09g0423011;Dcitr07g1055011;Dcitr10g0407011;Dcitr01g2123011;Dcitr00g1120011;Dcitr01g2139011;Dcitr10g0407012;Dcitr10g0407013;Dcitr01g1407011;Dcitr01g0188011;Dcitr03g0220011;Dcitr04g0999011;Dcitr05g0288011;Dcitr06g1513011;Dcitr04g1478011;Dcitr04g1240011;Dcitr06g1179012;Dcitr01g1487011;Dcitr00g0235011;Dcitr01g1260011;Dcitr00g1137011;Dcitr13g0261011;Dcitr13g0291011;Dcitr01g0202011;Dcitr00g0235012;Dcitr11g0455011;Dcitr04g1479011;Dcitr09g0669011;Dcitr04g1485011;Dcitr01g0245011;Dcitr10g0314011;Dcitr01g1259011;Dcitr06g1515011;Dcitr09g0255011;Dcitr08g0768011;Dcitr01g1439011;Dcitr02g1838011
IPR009040	DOMAIN:Ferritin-like_diiron	5	Dcitr08g0512011;Dcitr08g0516011;Dcitr03g0328011;Dcitr03g0329012;Dcitr03g0329011
IPR036444	HOMOLOGOUS_SUPERFAMILY:PLipase_A2_dom_sf	13	Dcitr10g0808011;Dcitr03g1426011;Dcitr10g1070011;Dcitr03g1422011;Dcitr10g1069011;Dcitr10g0926011;Dcitr07g0971011;Dcitr03g1421011;Dcitr01g2236011;Dcitr01g2235011;Dcitr07g0972011;Dcitr01g0658011;Dcitr10g0924011
IPR027054	FAMILY:ALG2	2	Dcitr03g0470011;Dcitr03g0468011
IPR027266	HOMOLOGOUS_SUPERFAMILY:TrmE/GcvT_dom1	7	Dcitr03g1548011;Dcitr09g0890012;Dcitr09g0893012;Dcitr05g1510011;Dcitr05g1508011;Dcitr05g1513011;Dcitr05g1485011
IPR015252	DOMAIN:BRCA2_hlx	1	Dcitr05g0508011
IPR024608	DOMAIN:SARA_Smad-bd	1	Dcitr05g0606011
IPR026064	FAMILY:TdIF1	2	Dcitr12g0597011;Dcitr12g0595011
IPR033581	FAMILY:APN2	7	Dcitr07g0383011;Dcitr03g1322011;Dcitr07g1124011;Dcitr07g0681011;Dcitr07g1108011;Dcitr07g1225011;Dcitr03g1316011
IPR018094	FAMILY:Thymidylate_kinase	2	Dcitr03g0738011;Dcitr03g0744011
IPR032552	CONSERVED_SITE:RSB_motif	1	Dcitr04g0310011
IPR032438	DOMAIN:ERCC3_RAD25_C	1	Dcitr02g0681011
IPR032641	FAMILY:Exo1	2	Dcitr00g0448011;Dcitr08g0964011
IPR022644	DOMAIN:De-COase2_N	2	Dcitr08g0137011;Dcitr08g0114011
IPR037785	DOMAIN:C2_C2CD5	3	Dcitr05g0434011;Dcitr05g0423011;Dcitr05g0434012
IPR004554	FAMILY:HMG_CoA_Rdtase_eu_arc	1	Dcitr13g0387011
IPR029030	HOMOLOGOUS_SUPERFAMILY:Caspase-like_dom_sf	8	Dcitr06g1281011;Dcitr02g2013011;Dcitr06g1279011;Dcitr06g1284011;Dcitr06g1161011;Dcitr02g0125011;Dcitr06g1159011;Dcitr06g1160011
IPR003959	DOMAIN:ATPase_AAA_core	64	Dcitr01g0991011;Dcitr00g0106011;Dcitr05g1391011;Dcitr07g1034011;Dcitr03g0271011;Dcitr01g0474011;Dcitr07g0463011;Dcitr03g1691012;Dcitr01g1713011;Dcitr05g0449011;Dcitr00g0108012;Dcitr10g0335011;Dcitr00g0108011;Dcitr02g1206011;Dcitr05g1167011;Dcitr04g0858011;Dcitr05g1174011;Dcitr09g0726011;Dcitr01g0250011;Dcitr03g1972011;Dcitr03g1691011;Dcitr04g0427011;Dcitr10g0425011;Dcitr01g1716011;Dcitr08g0293011;Dcitr00g0994011;Dcitr07g0437011;Dcitr01g1712011;Dcitr04g0395011;Dcitr01g0481011;Dcitr00g1519011;Dcitr03g0276011;Dcitr01g2060011;Dcitr05g0505011;Dcitr02g1200011;Dcitr00g1275011;Dcitr03g1691014;Dcitr05g1393011;Dcitr01g1400012;Dcitr07g0465011;Dcitr01g0328011;Dcitr13g0537011;Dcitr01g1400011;Dcitr03g0773011;Dcitr10g0340011;Dcitr05g1561011;Dcitr03g1691013;Dcitr00g0961011;Dcitr01g0331011;Dcitr00g0167011;Dcitr01g0114011;Dcitr06g0670011;Dcitr07g0457011;Dcitr10g0346011;Dcitr05g1532011;Dcitr04g0487011;Dcitr01g0996011;Dcitr03g0766011;Dcitr01g1930011;Dcitr01g0990011;Dcitr10g0540011;Dcitr08g0290011;Dcitr11g0510011;Dcitr09g0723011
IPR036815	HOMOLOGOUS_SUPERFAMILY:14-3-3_dom_sf	2	Dcitr11g0768011;Dcitr01g1656011
IPR040038	FAMILY:TIPIN/Csm3/Swi3	1	Dcitr02g1727011
IPR007860	DOMAIN:DNA_mmatch_repair_MutS_con_dom	3	Dcitr10g0583011;Dcitr08g1228011;Dcitr02g1986011
IPR026848	FAMILY:Fancl	2	Dcitr03g1709012;Dcitr03g1709011
IPR013194	DOMAIN:HDAC_interact_dom	1	Dcitr01g0344011
IPR025286	DOMAIN:MOFRL_assoc_dom	2	Dcitr02g1128011;Dcitr02g1126011
IPR029260	DOMAIN:DSPn	3	Dcitr03g0570011;Dcitr03g0570013;Dcitr03g0570012
IPR007757	FAMILY:MT-A70-like	3	Dcitr13g0220011;Dcitr04g0371011;Dcitr01g1187011
IPR011548	FAMILY:HIBADH	1	Dcitr03g1139011
IPR000928	DOMAIN:SNAP-25_dom	1	Dcitr03g0555011
IPR037192	HOMOLOGOUS_SUPERFAMILY:ERO1-like_sf	2	Dcitr08g1013011;Dcitr08g1016011
IPR038330	HOMOLOGOUS_SUPERFAMILY:TspO/MBR-related_sf	1	Dcitr01g0709011
IPR032201	DOMAIN:COE_HLH	3	Dcitr03g0140012;Dcitr03g0140011;Dcitr03g0139011
IPR036697	HOMOLOGOUS_SUPERFAMILY:Hemocyanin_N_sf	8	Dcitr06g0707011;Dcitr06g0706011;Dcitr01g1078011;Dcitr06g0703011;Dcitr01g1076011;Dcitr01g1077011;Dcitr06g0705011;Dcitr06g0704011
IPR013805	HOMOLOGOUS_SUPERFAMILY:GrpE_coiled_coil	2	Dcitr03g0190011;Dcitr03g0193011
IPR004343	DOMAIN:Plus-3_dom	2	Dcitr04g1194011;Dcitr04g1194012
IPR002909	DOMAIN:IPT_dom	12	Dcitr02g1729011;Dcitr02g0771011;Dcitr03g0139011;Dcitr03g0140012;Dcitr12g0766011;Dcitr04g1127011;Dcitr04g1125011;Dcitr02g0771012;Dcitr09g0307011;Dcitr03g0140011;Dcitr00g0709011;Dcitr04g1127012
IPR019321	FAMILY:Nucleoporin_Nup88	2	Dcitr11g0302011;Dcitr11g0297011
IPR014885	DOMAIN:VASP_tetra	1	Dcitr04g1237011
IPR009450	FAMILY:Plno_GlcNAc_GPI2	2	Dcitr05g1388012;Dcitr05g1388011
IPR039525	DOMAIN:RNF126-like_zinc-ribbon	2	Dcitr00g0274011;Dcitr00g0275011
IPR037020	HOMOLOGOUS_SUPERFAMILY:Hemocyanin_C_sf	6	Dcitr08g0481011;Dcitr01g1077011;Dcitr06g0704011;Dcitr01g1076011;Dcitr06g0703011;Dcitr06g0705011
IPR028846	FAMILY:Recoverin	12	Dcitr05g0298011;Dcitr03g1163011;Dcitr03g0994011;Dcitr05g1191011;Dcitr05g0306011;Dcitr03g1194011;Dcitr05g0297011;Dcitr03g1162011;Dcitr05g0296011;Dcitr05g1189011;Dcitr03g1199011;Dcitr05g0303011
IPR040167	FAMILY:TF_CP2-like	4	Dcitr13g0599011;Dcitr00g1053012;Dcitr00g1053011;Dcitr05g1729011
IPR035993	HOMOLOGOUS_SUPERFAMILY:Notch-like_dom_sf	2	Dcitr08g0330011;Dcitr08g0331011
IPR014371	FAMILY:Oat_ACAT_DAG_ARE	6	Dcitr00g1218013;Dcitr00g0251011;Dcitr00g1218012;Dcitr00g1337011;Dcitr00g1218011;Dcitr00g0250011
IPR006424	FAMILY:Glyceraldehyde-3-P_DH_1	3	Dcitr10g1103011;Dcitr01g0319011;Dcitr01g0320011
IPR021827	FAMILY:Nup186/Nup192/Nup205	2	Dcitr02g0594011;Dcitr02g0592011
IPR006561	DOMAIN:DZF_dom	3	Dcitr11g0951011;Dcitr11g0950011;Dcitr07g0999011
IPR036249	HOMOLOGOUS_SUPERFAMILY:Thioredoxin-like_sf	145	Dcitr01g0518011;Dcitr06g1168011;Dcitr01g1781011;Dcitr00g1217011;Dcitr05g0504013;Dcitr01g0674011;Dcitr04g0941011;Dcitr00g0161011;Dcitr01g0696011;Dcitr08g0154011;Dcitr04g1383011;Dcitr01g0878013;Dcitr03g0520011;Dcitr06g1166011;Dcitr10g0130011;Dcitr13g0258011;Dcitr12g0909011;Dcitr04g1600012;Dcitr04g1243011;Dcitr12g0672011;Dcitr01g1262011;Dcitr06g1377011;Dcitr05g1332011;Dcitr02g1918011;Dcitr12g0670011;Dcitr06g1167011;Dcitr06g1164011;Dcitr01g0675011;Dcitr06g0975011;Dcitr01g1421011;Dcitr02g1459011;Dcitr06g1383011;Dcitr04g0405013;Dcitr10g0989011;Dcitr04g0942011;Dcitr06g1169011;Dcitr08g0152011;Dcitr06g0974011;Dcitr08g0105011;Dcitr12g0384011;Dcitr04g1400011;Dcitr01g0255011;Dcitr01g0244011;Dcitr01g1264011;Dcitr07g0843011;Dcitr04g0405014;Dcitr01g0878012;Dcitr12g0905012;Dcitr04g0405015;Dcitr01g2174012;Dcitr05g0724011;Dcitr04g1602011;Dcitr01g1778011;Dcitr01g0518013;Dcitr03g0267011;Dcitr07g0871011;Dcitr13g0267011;Dcitr11g0605011;Dcitr10g0588011;Dcitr12g0908011;Dcitr07g0320012;Dcitr01g0878011;Dcitr04g1600011;Dcitr07g0320011;Dcitr05g0955011;Dcitr05g1330011;Dcitr03g0937011;Dcitr06g1163011;Dcitr00g0326011;Dcitr04g0405012;Dcitr04g0936011;Dcitr02g1938011;Dcitr05g1430011;Dcitr06g1104011;Dcitr01g0216011;Dcitr02g1460012;Dcitr04g0405011;Dcitr13g0605012;Dcitr10g0125011;Dcitr04g0848011;Dcitr03g0633011;Dcitr07g0870011;Dcitr09g0318011;Dcitr04g0651011;Dcitr01g0978011;Dcitr04g1382011;Dcitr12g0586011;Dcitr13g0605011;Dcitr11g0638011;Dcitr12g0908012;Dcitr05g0961011;Dcitr06g1381011;Dcitr01g1337011;Dcitr11g0726011;Dcitr02g1460011;Dcitr07g1039011;Dcitr11g0720011;Dcitr04g1311011;Dcitr04g0372011;Dcitr05g1431011;Dcitr09g0320011;Dcitr01g0680011;Dcitr01g0518012;Dcitr11g0726012;Dcitr09g0132011;Dcitr01g1498011;Dcitr01g0979011;Dcitr06g1451011;Dcitr12g0785011;Dcitr06g0972011;Dcitr00g1031011;Dcitr01g0224011;Dcitr12g0905011;Dcitr01g0958011;Dcitr07g1174011;Dcitr08g0879012;Dcitr01g1300011;Dcitr03g1223011;Dcitr01g0694011;Dcitr01g1426011;Dcitr10g0842011;Dcitr02g1265011;Dcitr05g0504011;Dcitr12g0780011;Dcitr13g0169011;Dcitr12g0584011;Dcitr05g0504012;Dcitr06g0954011;Dcitr01g1290011;Dcitr12g0389011;Dcitr00g0874011;Dcitr03g0281011;Dcitr02g1412011;Dcitr10g0592011;Dcitr08g0879011;Dcitr03g0286011;Dcitr01g2174011;Dcitr05g0726011;Dcitr06g0955011;Dcitr02g0143011;Dcitr10g0590011;Dcitr12g0180011;Dcitr04g1599011;Dcitr13g0705011;Dcitr07g1178011
IPR010033	DOMAIN:HAD_SF_ppase_IIIC	4	Dcitr05g0970011;Dcitr05g0972011;Dcitr05g0969011;Dcitr05g0971011
IPR036756	HOMOLOGOUS_SUPERFAMILY:H/ACA_rnp_Nop10_sf	1	Dcitr11g0685011
IPR023442	CONSERVED_SITE:Ribosomal_L24e_CS	1	Dcitr11g0901011
IPR006588	DOMAIN:Peptide_N_glycanase_PAW_dom	2	Dcitr13g0634011;Dcitr13g0634012
IPR035974	HOMOLOGOUS_SUPERFAMILY:Rap/Ran-GAP_sf	8	Dcitr02g1228011;Dcitr02g1756011;Dcitr08g0839011;Dcitr02g1235011;Dcitr02g1756012;Dcitr02g1756014;Dcitr05g0607011;Dcitr03g1131011
IPR006172	FAMILY:DNA-dir_DNA_pol_B	6	Dcitr01g0778011;Dcitr03g0454011;Dcitr01g0783011;Dcitr02g0593011;Dcitr04g1067011;Dcitr02g0595011
IPR027525	FAMILY:eIF3i	1	Dcitr05g0739011
IPR021900	FAMILY:DUF3512	1	Dcitr13g0607011
IPR023252	FAMILY:Aurora_borealis_protein	2	Dcitr01g0170011;Dcitr01g0172011
IPR036513	HOMOLOGOUS_SUPERFAMILY:STAS_dom_sf	13	Dcitr07g0935011;Dcitr07g0568011;Dcitr00g1406011;Dcitr07g1306011;Dcitr07g1309011;Dcitr07g0931011;Dcitr06g0483012;Dcitr07g0483011;Dcitr06g0482011;Dcitr07g0938011;Dcitr00g0885011;Dcitr07g1309012;Dcitr06g0483011
IPR005144	DOMAIN:ATP-cone_dom	1	Dcitr07g0852011
IPR002637	FAMILY:Ham1p-like	3	Dcitr04g0776011;Dcitr04g0774011;Dcitr00g0564011
IPR013538	FAMILY:Activator_of_Hsp90_ATPase	3	Dcitr08g0327011;Dcitr08g0302012;Dcitr08g0302011
IPR041195	DOMAIN:Rnh202_N	1	Dcitr09g0740011
IPR039720	FAMILY:TMEM94	7	Dcitr07g0436011;Dcitr07g0436013;Dcitr07g0458011;Dcitr07g0455012;Dcitr07g0436012;Dcitr07g0456011;Dcitr07g0455011
IPR026811	FAMILY:CIZ1	5	Dcitr05g1534012;Dcitr05g1534013;Dcitr05g1534011;Dcitr05g1411011;Dcitr05g1530011
IPR036920	HOMOLOGOUS_SUPERFAMILY:Ribosomal_L10e/L16_sf	4	Dcitr10g0299011;Dcitr03g0115011;Dcitr03g0116011;Dcitr03g0117011
IPR009088	HOMOLOGOUS_SUPERFAMILY:TFIIA_b-brl	1	Dcitr05g0291011
IPR012506	FAMILY:YhhN	3	Dcitr06g1353011;Dcitr06g1351011;Dcitr06g1350011
IPR027243	FAMILY:BCS1	2	Dcitr09g0726011;Dcitr09g0723011
IPR043151	HOMOLOGOUS_SUPERFAMILY:BAH_sf	11	Dcitr11g0393011;Dcitr07g1090011;Dcitr11g0501011;Dcitr08g1061012;Dcitr03g1129011;Dcitr08g0509011;Dcitr11g0500011;Dcitr07g1088011;Dcitr11g0397011;Dcitr08g0515011;Dcitr08g1061011
IPR011184	FAMILY:DNA_mismatch_repair_Msh2	1	Dcitr02g1986011
IPR005607	DOMAIN:BSD_dom	3	Dcitr01g0867011;Dcitr01g0865011;Dcitr08g0242011
IPR007823	FAMILY:RRP8	1	Dcitr06g0685011
IPR003118	DOMAIN:Pointed_dom	5	Dcitr06g1256011;Dcitr02g1951011;Dcitr06g1247011;Dcitr06g0668011;Dcitr06g1248011
IPR001580	FAMILY:Calret/calnex	3	Dcitr06g1551011;Dcitr01g1479011;Dcitr06g1544011
IPR033469	HOMOLOGOUS_SUPERFAMILY:CYTH-like_dom_sf	1	Dcitr12g0794011
IPR043159	HOMOLOGOUS_SUPERFAMILY:Lectin_gal-bd_sf	2	Dcitr08g0541012;Dcitr08g0541011
IPR010159	FAMILY:N-acyl_aa_amidohydrolase	2	Dcitr01g1877011;Dcitr01g1873011
IPR019464	DOMAIN:ELL_N	2	Dcitr11g0348011;Dcitr11g0344011
IPR036524	HOMOLOGOUS_SUPERFAMILY:Frataxin/CyaY_sf	1	Dcitr06g1082011
IPR037912	FAMILY:MCRS1	2	Dcitr02g0892011;Dcitr02g0894011
IPR007229	FAMILY:Nic_PRibTrfase-Fam	2	Dcitr01g0418011;Dcitr01g0417011
IPR001507	DOMAIN:ZP_dom	20	Dcitr01g1875011;Dcitr08g0614011;Dcitr00g0865011;Dcitr08g0527011;Dcitr08g0770011;Dcitr10g0949011;Dcitr10g0945011;Dcitr08g0279011;Dcitr08g0528011;Dcitr06g0346011;Dcitr06g1425011;Dcitr10g0596011;Dcitr01g2152011;Dcitr10g0596012;Dcitr01g1307011;Dcitr01g2177011;Dcitr01g1898011;Dcitr06g0473011;Dcitr01g2155011;Dcitr06g0354011
IPR002090	FAMILY:NHE6_7_9	3	Dcitr01g0616012;Dcitr01g0616013;Dcitr01g0616011
IPR004240	FAMILY:EMP70	7	Dcitr06g1171011;Dcitr12g0604011;Dcitr06g1165011;Dcitr04g0616011;Dcitr04g0279011;Dcitr06g1162011;Dcitr04g0280011
IPR036364	HOMOLOGOUS_SUPERFAMILY:SEA_dom_sf	7	Dcitr03g1151011;Dcitr07g0866011;Dcitr01g1743011;Dcitr00g1252011;Dcitr01g1745011;Dcitr10g0913011;Dcitr00g1251011
IPR031322	FAMILY:Shikimate/glucono_kinase	1	Dcitr00g1007011
IPR002495	FAMILY:Glyco_trans_8	6	Dcitr08g0955011;Dcitr01g1725011;Dcitr01g0323011;Dcitr01g0326011;Dcitr01g1726011;Dcitr06g1514011
IPR014041	HOMOLOGOUS_SUPERFAMILY:ESCRT-II_cplx_Vps25-sub_N	2	Dcitr02g0619011;Dcitr02g0624011
IPR012000	DOMAIN:Thiamin_PyroP_enz_cen_dom	2	Dcitr01g2077011;Dcitr00g0946011
IPR029485	DOMAIN:CAT_C	10	Dcitr01g1682012;Dcitr13g0260011;Dcitr01g1679011;Dcitr02g1115011;Dcitr13g0264011;Dcitr02g1120011;Dcitr08g0874011;Dcitr13g0270011;Dcitr01g1682011;Dcitr02g1901011
IPR000111	CONSERVED_SITE:Glyco_hydro_27/36_CS	1	Dcitr06g0654011
IPR039177	FAMILY:SMG9	1	Dcitr04g1106011
IPR000120	FAMILY:Amidase	2	Dcitr01g1396011;Dcitr01g1395011
IPR039357	FAMILY:SRD5A/TECR	1	Dcitr02g1526011
IPR003117	DOMAIN:cAMP_dep_PK_reg_su_I/II_a/b	4	Dcitr12g0995012;Dcitr12g0995011;Dcitr12g0992011;Dcitr06g1504011
IPR042512	FAMILY:TLCD5	1	Dcitr06g1416011
IPR002438	FAMILY:Neutral_aa_SLC6	1	Dcitr10g0399011
IPR031354	DOMAIN:BRD4_CDT	3	Dcitr08g0595013;Dcitr08g0595012;Dcitr08g0595011
IPR005999	FAMILY:Glycerol_kin	2	Dcitr04g0608011;Dcitr04g0552011
IPR001261	CONSERVED_SITE:ArgE/DapE_CS	3	Dcitr05g1344011;Dcitr01g1873011;Dcitr01g1877011
IPR024084	DOMAIN:IsoPropMal-DH-like_dom	11	Dcitr02g1366015;Dcitr02g1366011;Dcitr00g0445011;Dcitr09g0522011;Dcitr08g0502011;Dcitr11g0995011;Dcitr02g1366013;Dcitr00g0914011;Dcitr02g1366012;Dcitr11g0996011;Dcitr02g1366014
IPR035684	DOMAIN:ArgRS_core	4	Dcitr02g0142011;Dcitr06g1137011;Dcitr06g1141011;Dcitr02g0142012
IPR000233	DOMAIN:Cadherin_cytoplasmic-dom	3	Dcitr03g1246011;Dcitr04g0883011;Dcitr04g0884011
IPR008733	FAMILY:PEX11	1	Dcitr05g1036011
IPR033923	DOMAIN:PAK_BD	2	Dcitr08g0943011;Dcitr08g0944011
IPR034737	DOMAIN:TCTP	2	Dcitr04g0503011;Dcitr00g0926011
IPR006608	DOMAIN:DM14	2	Dcitr04g0240011;Dcitr04g0240012
IPR006238	FAMILY:Cys_b_lyase_euk	1	Dcitr00g0692011
IPR018358	CONSERVED_SITE:Disintegrin_CS	1	Dcitr02g0149011
IPR003196	FAMILY:TFIIF_beta	2	Dcitr00g0590011;Dcitr00g0588011
IPR003437	FAMILY:GcvP	1	Dcitr01g1553011
IPR022768	DOMAIN:Fascin-domain	3	Dcitr07g0586011;Dcitr07g0582011;Dcitr07g0582012
IPR023211	HOMOLOGOUS_SUPERFAMILY:DNA_pol_palm_dom_sf	4	Dcitr02g0595011;Dcitr04g1067011;Dcitr01g0783011;Dcitr01g0778011
IPR029020	HOMOLOGOUS_SUPERFAMILY:Ammonium/urea_transptr	3	Dcitr00g0547011;Dcitr10g0261011;Dcitr10g0244011
IPR022885	FAMILY:NDH1_su_D/H	1	Dcitr00g1330011
