Accession_ID	Pathway_Count	Pathway_IDs	Pathway_Names
Dcitr06g1099011	1	Reactome: R-HSA-390522	"Striated Muscle Contraction"
Dcitr06g0917013	1	Reactome: R-HSA-156581	"Methylation"
Dcitr06g1568011	6	Reactome: R-HSA-4411364;Reactome: R-HSA-201722;Reactome: R-HSA-3769402;Reactome: R-HSA-4086398;Reactome: R-HSA-8951430;Reactome: R-HSA-4641265	"Binding of TCF/LEF:CTNNB1 to target gene promoters";"Formation of the beta-catenin:TCF transactivating complex";"Deactivation of the beta-catenin transactivating complex";"Ca2+ pathway";"RUNX3 regulates WNT signaling";"Repression of WNT target genes"
Dcitr03g1388011	3	Reactome: R-HSA-5368286;Reactome: R-HSA-5419276;Reactome: R-HSA-5389840	"Mitochondrial translation initiation";"Mitochondrial translation termination";"Mitochondrial translation elongation"
Dcitr05g0552011	1	Reactome: R-HSA-420499	"Class C/3 (Metabotropic glutamate/pheromone receptors)"
Dcitr01g0613011	1	Reactome: R-HSA-606279	"Deposition of new CENPA-containing nucleosomes at the centromere"
Dcitr05g0384011	2	Reactome: R-HSA-6783310;Reactome: R-HSA-6796648	"Fanconi Anemia Pathway";"TP53 Regulates Transcription of DNA Repair Genes"
Dcitr05g1388011	1	Reactome: R-HSA-162710	"Synthesis of glycosylphosphatidylinositol (GPI)"
Dcitr01g2237011	9	Reactome: R-HSA-5696395;Reactome: R-HSA-110314;Reactome: R-HSA-5696400;Reactome: R-HSA-6781823;Reactome: R-HSA-6781827;Reactome: R-HSA-6782135;Reactome: R-HSA-5696394;Reactome: R-HSA-6782210;Reactome: R-HSA-8951664	"Formation of Incision Complex in GG-NER";"Recognition of DNA damage by PCNA-containing replication complex";"Dual Incision in GG-NER";"Formation of TC-NER Pre-Incision Complex";"Transcription-Coupled Nucleotide Excision Repair (TC-NER)";"Dual incision in TC-NER";"DNA Damage Recognition in GG-NER";"Gap-filling DNA repair synthesis and ligation in TC-NER";"Neddylation"
Dcitr07g0187011	1	Reactome: R-HSA-389957	"Prefoldin mediated transfer of substrate to CCT/TriC"
Dcitr03g1474012	6	Reactome: R-HSA-6791226;Reactome: R-HSA-429958;Reactome: R-HSA-380994;Reactome: R-HSA-450604;Reactome: R-HSA-450385;Reactome: R-HSA-450513	"Major pathway of rRNA processing in the nucleolus and cytosol";"mRNA decay by 3' to 5' exoribonuclease";"ATF4 activates genes in response to endoplasmic reticulum stress";"KSRP (KHSRP) binds and destabilizes mRNA";"Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA";"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA"
Dcitr02g1944012	3	Reactome: R-HSA-194840;Reactome: R-HSA-416482;Reactome: R-HSA-193648	"Rho GTPase cycle";"G alpha (12/13) signalling events";"NRAGE signals death through JNK"
Dcitr04g0960011	1	Reactome: R-HSA-5223345	"Miscellaneous transport and binding events"
Dcitr07g0588012	1	Reactome: R-HSA-9640463	"Wax biosynthesis"
Dcitr07g0241011	1	Reactome: R-HSA-2672351	"Stimuli-sensing channels"
Dcitr00g0103011	1	Reactome: R-HSA-180024	"DARPP-32 events"
Dcitr07g0850011	1	Reactome: R-HSA-936837	"Ion transport by P-type ATPases"
Dcitr05g0509011	6	Reactome: R-HSA-5693616;Reactome: R-HSA-5693579;Reactome: R-HSA-912446;Reactome: R-HSA-5693568;Reactome: R-HSA-5685942;Reactome: R-HSA-5693554	"Presynaptic phase of homologous DNA pairing and strand exchange";"Homologous DNA Pairing and Strand Exchange";"Meiotic recombination";"Resolution of D-loop Structures through Holliday Junction Intermediates";"HDR through Homologous Recombination (HRR)";"Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)"
Dcitr05g0724011	3	Reactome: R-HSA-499943;Reactome: R-HSA-2162123;Reactome: R-HSA-6798695	"Interconversion of nucleotide di- and triphosphates";"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)";"Neutrophil degranulation"
Dcitr11g0488011	1	Reactome: R-HSA-2672351	"Stimuli-sensing channels"
Dcitr02g1925011	1	Reactome: R-HSA-446203	"Asparagine N-linked glycosylation"
Dcitr08g0599011	1	Reactome: R-HSA-373752	"Netrin-1 signaling"
Dcitr05g0380012	4	Reactome: R-HSA-9615710;Reactome: R-HSA-917729;Reactome: R-HSA-174490;Reactome: R-HSA-162588	"Microautophagy";"Endosomal Sorting Complex Required For Transport (ESCRT)";"Membrane binding and targetting of GAG proteins";"Budding and maturation of HIV virion"
Dcitr04g0793011	2	Reactome: R-HSA-6791226;Reactome: R-HSA-6790901	"Major pathway of rRNA processing in the nucleolus and cytosol";"rRNA modification in the nucleus and cytosol"
Dcitr12g0603011	30	Reactome: R-HSA-167172;Reactome: R-HSA-5696400;Reactome: R-HSA-2564830;Reactome: R-HSA-6781827;Reactome: R-HSA-427413;Reactome: R-HSA-167152;Reactome: R-HSA-5696395;Reactome: R-HSA-167246;Reactome: R-HSA-76042;Reactome: R-HSA-73776;Reactome: R-HSA-674695;Reactome: R-HSA-72086;Reactome: R-HSA-6796648;Reactome: R-HSA-167158;Reactome: R-HSA-6781823;Reactome: R-HSA-73779;Reactome: R-HSA-6782135;Reactome: R-HSA-6782210;Reactome: R-HSA-113418;Reactome: R-HSA-73762;Reactome: R-HSA-167160;Reactome: R-HSA-75955;Reactome: R-HSA-167161;Reactome: R-HSA-112382;Reactome: R-HSA-77075;Reactome: R-HSA-167200;Reactome: R-HSA-167162;Reactome: R-HSA-73772;Reactome: R-HSA-75953;Reactome: R-HSA-73863	"Transcription of the HIV genome";"Dual Incision in GG-NER";"Cytosolic iron-sulfur cluster assembly";"Transcription-Coupled Nucleotide Excision Repair (TC-NER)";"NoRC negatively regulates rRNA expression";"Formation of HIV elongation complex in the absence of HIV Tat";"Formation of Incision Complex in GG-NER";"Tat-mediated elongation of the HIV-1 transcript";"RNA Polymerase II Transcription Initiation And Promoter Clearance";"RNA Polymerase II Promoter Escape";"RNA Polymerase II Pre-transcription Events";"mRNA Capping";"TP53 Regulates Transcription of DNA Repair Genes";"Formation of the HIV-1 Early Elongation Complex";"Formation of TC-NER Pre-Incision Complex";"RNA Polymerase II Transcription Pre-Initiation And Promoter Opening";"Dual incision in TC-NER";"Gap-filling DNA repair synthesis and ligation in TC-NER";"Formation of the Early Elongation Complex";"RNA Polymerase I Transcription Initiation";"RNA Pol II CTD phosphorylation and interaction with CE during HIV infection";"RNA Polymerase II Transcription Elongation";"HIV Transcription Initiation";"Formation of RNA Pol II elongation complex";"RNA Pol II CTD phosphorylation and interaction with CE";"Formation of HIV-1 elongation complex containing HIV-1 Tat";"RNA Polymerase II HIV Promoter Escape";"RNA Polymerase I Promoter Escape";"RNA Polymerase II Transcription Initiation";"RNA Polymerase I Transcription Termination"
Dcitr05g1704011	2	Reactome: R-HSA-381340;Reactome: R-HSA-1989781	"Transcriptional regulation of white adipocyte differentiation";"PPARA activates gene expression"
Dcitr08g0188011	2	Reactome: R-HSA-5689603;Reactome: R-HSA-5696394	"UCH proteinases";"DNA Damage Recognition in GG-NER"
Dcitr03g0946011	12	Reactome: R-HSA-2408557;Reactome: R-HSA-72764;Reactome: R-HSA-192823;Reactome: R-HSA-975956;Reactome: R-HSA-156902;Reactome: R-HSA-72689;Reactome: R-HSA-1799339;Reactome: R-HSA-156827;Reactome: R-HSA-9010553;Reactome: R-HSA-6791226;Reactome: R-HSA-72706;Reactome: R-HSA-975957	"Selenocysteine synthesis";"Eukaryotic Translation Termination";"Viral mRNA Translation";"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)";"Peptide chain elongation";"Formation of a pool of free 40S subunits";"SRP-dependent cotranslational protein targeting to membrane";"L13a-mediated translational silencing of Ceruloplasmin expression";"Regulation of expression of SLITs and ROBOs";"Major pathway of rRNA processing in the nucleolus and cytosol";"GTP hydrolysis and joining of the 60S ribosomal subunit";"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
Dcitr05g0264011	3	Reactome: R-HSA-430039;Reactome: R-HSA-72163;Reactome: R-HSA-72165	"mRNA decay by 5' to 3' exoribonuclease";"mRNA Splicing - Major Pathway";"mRNA Splicing - Minor Pathway"
Dcitr00g0474011	3	Reactome: R-HSA-5620916;Reactome: R-HSA-1445148;Reactome: R-HSA-264876	"VxPx cargo-targeting to cilium";"Translocation of SLC2A4 (GLUT4) to the plasma membrane";"Insulin processing"
Dcitr12g0199011	1	Reactome: R-HSA-4419969	"Depolymerisation of the Nuclear Lamina"
Dcitr13g0436011	7	Reactome: R-HSA-2644606;Reactome: R-HSA-2691232;Reactome: R-HSA-2979096;Reactome: R-HSA-2660826;Reactome: R-HSA-2122948;Reactome: R-HSA-9013507;Reactome: R-HSA-2894862	"Constitutive Signaling by NOTCH1 PEST Domain Mutants";"Constitutive Signaling by NOTCH1 HD Domain Mutants";"NOTCH2 Activation and Transmission of Signal to the Nucleus";"Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant";"Activated NOTCH1 Transmits Signal to the Nucleus";"NOTCH3 Activation and Transmission of Signal to the Nucleus";"Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants"
Dcitr05g0537011	2	Reactome: R-HSA-446193;Reactome: R-HSA-4720475	"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein";"Defective ALG3 causes ALG3-CDG (CDG-1d)"
Dcitr10g0236011	3	Reactome: R-HSA-381340;Reactome: R-HSA-1989781;Reactome: R-HSA-212436	"Transcriptional regulation of white adipocyte differentiation";"PPARA activates gene expression";"Generic Transcription Pathway"
Dcitr02g1012011	1	Reactome: R-HSA-1369062	"ABC transporters in lipid homeostasis"
Dcitr04g1469011	1	Reactome: R-HSA-2022928	"HS-GAG biosynthesis"
Dcitr03g0755011	1	Reactome: R-HSA-8964539	"Glutamate and glutamine metabolism"
Dcitr04g0419011	1	Reactome: R-HSA-6782315	"tRNA modification in the nucleus and cytosol"
Dcitr08g0177011	1	Reactome: R-HSA-189085	"Digestion of dietary carbohydrate"
Dcitr04g1502013	1	Reactome: R-HSA-189200	"Cellular hexose transport"
Dcitr01g0740011	1	Reactome: R-HSA-162791	"Attachment of GPI anchor to uPAR"
Dcitr08g0507011	2	Reactome: R-HSA-5576892;Reactome: R-HSA-5576893	"Phase 0 - rapid depolarisation";"Phase 2 - plateau phase"
Dcitr05g1568011	1	Reactome: R-HSA-72163	"mRNA Splicing - Major Pathway"
Dcitr00g0388012	1	Reactome: R-HSA-189085	"Digestion of dietary carbohydrate"
Dcitr06g1409012	1	Reactome: R-HSA-2995383	"Initiation of Nuclear Envelope Reformation"
Dcitr04g0145011	2	Reactome: R-HSA-947581;Reactome: R-HSA-1362409	"Molybdenum cofactor biosynthesis";"Mitochondrial iron-sulfur cluster biogenesis"
Dcitr03g0632011	11	Reactome: R-HSA-75953;Reactome: R-HSA-167162;Reactome: R-HSA-6804756;Reactome: R-HSA-73779;Reactome: R-HSA-5689880;Reactome: R-HSA-3214847;Reactome: R-HSA-167172;Reactome: R-HSA-674695;Reactome: R-HSA-73776;Reactome: R-HSA-167161;Reactome: R-HSA-76042	"RNA Polymerase II Transcription Initiation";"RNA Polymerase II HIV Promoter Escape";"Regulation of TP53 Activity through Phosphorylation";"RNA Polymerase II Transcription Pre-Initiation And Promoter Opening";"Ub-specific processing proteases";"HATs acetylate histones";"Transcription of the HIV genome";"RNA Polymerase II Pre-transcription Events";"RNA Polymerase II Promoter Escape";"HIV Transcription Initiation";"RNA Polymerase II Transcription Initiation And Promoter Clearance"
Dcitr02g0455011	1	Reactome: R-HSA-1445148	"Translocation of SLC2A4 (GLUT4) to the plasma membrane"
Dcitr01g1993011	1	Reactome: R-HSA-6807505	"RNA polymerase II transcribes snRNA genes"
Dcitr03g0358011	6	Reactome: R-HSA-6804759;Reactome: R-HSA-6803207;Reactome: R-HSA-6803204;Reactome: R-HSA-6803211;Reactome: R-HSA-6803205;Reactome: R-HSA-139915	"Regulation of TP53 Activity through Association with Co-factors";"TP53 Regulates Transcription of Caspase Activators and Caspases";"TP53 Regulates Transcription of Genes Involved in Cytochrome C Release";"TP53 Regulates Transcription of Death Receptors and Ligands";"TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain";"Activation of PUMA and translocation to mitochondria"
Dcitr03g1529011	2	Reactome: R-HSA-5173214;Reactome: R-HSA-5083635	"O-glycosylation of TSR domain-containing proteins";"Defective B3GALTL causes Peters-plus syndrome (PpS)"
Dcitr09g0893012	1	Reactome: R-HSA-6787450	"tRNA modification in the mitochondrion"
Dcitr02g1366012	1	Reactome: R-HSA-71403	"Citric acid cycle (TCA cycle)"
Dcitr00g1242011	2	Reactome: R-HSA-72165;Reactome: R-HSA-72163	"mRNA Splicing - Minor Pathway";"mRNA Splicing - Major Pathway"
Dcitr05g0540011	2	Reactome: R-HSA-429947;Reactome: R-HSA-6804115	"Deadenylation of mRNA";"TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain"
Dcitr05g0472011	1	Reactome: R-HSA-8951664	"Neddylation"
Dcitr02g1702011	1	Reactome: R-HSA-2142789	"Ubiquinol biosynthesis"
Dcitr01g1068013	1	Reactome: R-HSA-75876	"Synthesis of very long-chain fatty acyl-CoAs"
Dcitr05g0910011	4	Reactome: R-HSA-72163;Reactome: R-HSA-77595;Reactome: R-HSA-73856;Reactome: R-HSA-72187	"mRNA Splicing - Major Pathway";"Processing of Intronless Pre-mRNAs";"RNA Polymerase II Transcription Termination";"mRNA 3'-end processing"
Dcitr09g0339011	3	Reactome: R-HSA-3371599;Reactome: R-HSA-70263;Reactome: R-HSA-196780	"Defective HLCS causes multiple carboxylase deficiency";"Gluconeogenesis";"Biotin transport and metabolism"
Dcitr09g0360013	1	Reactome: R-HSA-75876	"Synthesis of very long-chain fatty acyl-CoAs"
Dcitr02g1821011	1	Reactome: R-HSA-1369062	"ABC transporters in lipid homeostasis"
Dcitr01g0387011	1	Reactome: R-HSA-189200	"Cellular hexose transport"
Dcitr00g0691011	1	Reactome: R-HSA-196780	"Biotin transport and metabolism"
Dcitr03g1955012	4	Reactome: R-HSA-72187;Reactome: R-HSA-72163;Reactome: R-HSA-159236;Reactome: R-HSA-73856	"mRNA 3'-end processing";"mRNA Splicing - Major Pathway";"Transport of Mature mRNA derived from an Intron-Containing Transcript";"RNA Polymerase II Transcription Termination"
Dcitr05g0957011	1	Reactome: R-HSA-8849932	"Synaptic adhesion-like molecules"
Dcitr01g1971011	8	Reactome: R-HSA-2468052;Reactome: R-HSA-983189;Reactome: R-HSA-2470946;Reactome: R-HSA-6811434;Reactome: R-HSA-2132295;Reactome: R-HSA-2467813;Reactome: R-HSA-2500257;Reactome: R-HSA-68884	"Establishment of Sister Chromatid Cohesion";"Kinesins";"Cohesin Loading onto Chromatin";"COPI-dependent Golgi-to-ER retrograde traffic";"MHC class II antigen presentation";"Separation of Sister Chromatids";"Resolution of Sister Chromatid Cohesion";"Mitotic Telophase/Cytokinesis"
Dcitr02g0572011	1	Reactome: R-HSA-6791226	"Major pathway of rRNA processing in the nucleolus and cytosol"
Dcitr00g0588011	32	Reactome: R-HSA-6807505;Reactome: R-HSA-674695;Reactome: R-HSA-73776;Reactome: R-HSA-167238;Reactome: R-HSA-73779;Reactome: R-HSA-6803529;Reactome: R-HSA-72163;Reactome: R-HSA-77075;Reactome: R-HSA-168325;Reactome: R-HSA-75953;Reactome: R-HSA-167200;Reactome: R-HSA-167172;Reactome: R-HSA-167243;Reactome: R-HSA-76042;Reactome: R-HSA-167246;Reactome: R-HSA-167152;Reactome: R-HSA-167242;Reactome: R-HSA-8851708;Reactome: R-HSA-6796648;Reactome: R-HSA-167158;Reactome: R-HSA-72086;Reactome: R-HSA-9018519;Reactome: R-HSA-167161;Reactome: R-HSA-75955;Reactome: R-HSA-167160;Reactome: R-HSA-72165;Reactome: R-HSA-113418;Reactome: R-HSA-167287;Reactome: R-HSA-72203;Reactome: R-HSA-112382;Reactome: R-HSA-167290;Reactome: R-HSA-167162	"RNA polymerase II transcribes snRNA genes";"RNA Polymerase II Pre-transcription Events";"RNA Polymerase II Promoter Escape";"Pausing and recovery of Tat-mediated HIV elongation";"RNA Polymerase II Transcription Pre-Initiation And Promoter Opening";"FGFR2 alternative splicing";"mRNA Splicing - Major Pathway";"RNA Pol II CTD phosphorylation and interaction with CE";"Viral Messenger RNA Synthesis";"RNA Polymerase II Transcription Initiation";"Formation of HIV-1 elongation complex containing HIV-1 Tat";"Transcription of the HIV genome";"Tat-mediated HIV elongation arrest and recovery";"RNA Polymerase II Transcription Initiation And Promoter Clearance";"Tat-mediated elongation of the HIV-1 transcript";"Formation of HIV elongation complex in the absence of HIV Tat";"Abortive elongation of HIV-1 transcript in the absence of Tat";"Signaling by FGFR2 IIIa TM";"TP53 Regulates Transcription of DNA Repair Genes";"Formation of the HIV-1 Early Elongation Complex";"mRNA Capping";"Estrogen-dependent gene expression";"HIV Transcription Initiation";"RNA Polymerase II Transcription Elongation";"RNA Pol II CTD phosphorylation and interaction with CE during HIV infection";"mRNA Splicing - Minor Pathway";"Formation of the Early Elongation Complex";"HIV elongation arrest and recovery";"Processing of Capped Intron-Containing Pre-mRNA";"Formation of RNA Pol II elongation complex";"Pausing and recovery of HIV elongation";"RNA Polymerase II HIV Promoter Escape"
Dcitr08g0104011	1	Reactome: R-HSA-3214847	"HATs acetylate histones"
Dcitr03g1242011	3	Reactome: R-HSA-72187;Reactome: R-HSA-159236;Reactome: R-HSA-73856	"mRNA 3'-end processing";"Transport of Mature mRNA derived from an Intron-Containing Transcript";"RNA Polymerase II Transcription Termination"
Dcitr04g0683011	1	Reactome: R-HSA-1483166	"Synthesis of PA"
Dcitr05g0606011	4	Reactome: R-HSA-3304356;Reactome: R-HSA-2173788;Reactome: R-HSA-2173789;Reactome: R-HSA-3656532	"SMAD2/3 Phosphorylation Motif Mutants in Cancer";"Downregulation of TGF-beta receptor signaling";"TGF-beta receptor signaling activates SMADs";"TGFBR1 KD Mutants in Cancer"
Dcitr04g0876011	1	Reactome: R-HSA-8949664	"Processing of SMDT1"
Dcitr02g0299011	1	Reactome: R-HSA-5662702	"Melanin biosynthesis"
Dcitr05g0893011	1	Reactome: R-HSA-983168	"Antigen processing: Ubiquitination &amp; Proteasome degradation"
Dcitr05g0790011	1	Reactome: R-HSA-2672351	"Stimuli-sensing channels"
Dcitr09g0525011	2	Reactome: R-HSA-373080;Reactome: R-HSA-3238698	"Class B/2 (Secretin family receptors)";"WNT ligand biogenesis and trafficking"
Dcitr01g0315011	1	Reactome: R-HSA-425410	"Metal ion SLC transporters"
Dcitr08g0607011	1	Reactome: R-HSA-2132295	"MHC class II antigen presentation"
Dcitr02g1362011	1	Reactome: R-HSA-5689880	"Ub-specific processing proteases"
Dcitr05g1125011	3	Reactome: R-HSA-9627069;Reactome: R-HSA-1237112;Reactome: R-HSA-111458	"Regulation of the apoptosome activity";"Methionine salvage pathway";"Formation of apoptosome"
Dcitr09g0267011	7	Reactome: R-HSA-5689880;Reactome: R-HSA-3214847;Reactome: R-HSA-5696394;Reactome: R-HSA-201722;Reactome: R-HSA-171319;Reactome: R-HSA-5689603;Reactome: R-HSA-606279	"Ub-specific processing proteases";"HATs acetylate histones";"DNA Damage Recognition in GG-NER";"Formation of the beta-catenin:TCF transactivating complex";"Telomere Extension By Telomerase";"UCH proteinases";"Deposition of new CENPA-containing nucleosomes at the centromere"
Dcitr06g0451011	4	Reactome: R-HSA-2029482;Reactome: R-HSA-5663213;Reactome: R-HSA-9033241;Reactome: R-HSA-4420097	"Regulation of actin dynamics for phagocytic cup formation";"RHO GTPases Activate WASPs and WAVEs";"Peroxisomal protein import";"VEGFA-VEGFR2 Pathway"
Dcitr08g0728011	2	Reactome: R-HSA-5576892;Reactome: R-HSA-5576893	"Phase 0 - rapid depolarisation";"Phase 2 - plateau phase"
Dcitr08g0162014	1	Reactome: R-HSA-420029	"Tight junction interactions"
Dcitr10g0785011	1	Reactome: R-HSA-6791226	"Major pathway of rRNA processing in the nucleolus and cytosol"
Dcitr00g0301011	12	Reactome: R-HSA-9010553;Reactome: R-HSA-156827;Reactome: R-HSA-1799339;Reactome: R-HSA-6791226;Reactome: R-HSA-72689;Reactome: R-HSA-975957;Reactome: R-HSA-72706;Reactome: R-HSA-192823;Reactome: R-HSA-2408557;Reactome: R-HSA-72764;Reactome: R-HSA-975956;Reactome: R-HSA-156902	"Regulation of expression of SLITs and ROBOs";"L13a-mediated translational silencing of Ceruloplasmin expression";"SRP-dependent cotranslational protein targeting to membrane";"Major pathway of rRNA processing in the nucleolus and cytosol";"Formation of a pool of free 40S subunits";"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)";"GTP hydrolysis and joining of the 60S ribosomal subunit";"Viral mRNA Translation";"Selenocysteine synthesis";"Eukaryotic Translation Termination";"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)";"Peptide chain elongation"
Dcitr06g0799011	1	Reactome: R-HSA-8949613	"Cristae formation"
Dcitr00g0138012	15	Reactome: R-HSA-975957;Reactome: R-HSA-72706;Reactome: R-HSA-9010553;Reactome: R-HSA-156827;Reactome: R-HSA-1799339;Reactome: R-HSA-6791226;Reactome: R-HSA-72689;Reactome: R-HSA-72702;Reactome: R-HSA-156902;Reactome: R-HSA-975956;Reactome: R-HSA-192823;Reactome: R-HSA-72649;Reactome: R-HSA-72695;Reactome: R-HSA-72764;Reactome: R-HSA-2408557	"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)";"GTP hydrolysis and joining of the 60S ribosomal subunit";"Regulation of expression of SLITs and ROBOs";"L13a-mediated translational silencing of Ceruloplasmin expression";"SRP-dependent cotranslational protein targeting to membrane";"Major pathway of rRNA processing in the nucleolus and cytosol";"Formation of a pool of free 40S subunits";"Ribosomal scanning and start codon recognition";"Peptide chain elongation";"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)";"Viral mRNA Translation";"Translation initiation complex formation";"Formation of the ternary complex, and subsequently, the 43S complex";"Eukaryotic Translation Termination";"Selenocysteine synthesis"
Dcitr04g0944011	2	Reactome: R-HSA-611105;Reactome: R-HSA-6799198	"Respiratory electron transport";"Complex I biogenesis"
Dcitr02g1999011	1	Reactome: R-HSA-1369062	"ABC transporters in lipid homeostasis"
Dcitr10g0599011	3	Reactome: R-HSA-5419276;Reactome: R-HSA-5368286;Reactome: R-HSA-5389840	"Mitochondrial translation termination";"Mitochondrial translation initiation";"Mitochondrial translation elongation"
Dcitr03g0134011	1	Reactome: R-HSA-5358493	"Synthesis of diphthamide-EEF2"
Dcitr05g1129011	2	Reactome: R-HSA-6799198;Reactome: R-HSA-611105	"Complex I biogenesis";"Respiratory electron transport"
Dcitr01g1201011	1	Reactome: R-HSA-192456	"Digestion of dietary lipid"
Dcitr12g0284011	3	Reactome: R-HSA-75955;Reactome: R-HSA-674695;Reactome: R-HSA-112382	"RNA Polymerase II Transcription Elongation";"RNA Polymerase II Pre-transcription Events";"Formation of RNA Pol II elongation complex"
Dcitr01g0371012	2	Reactome: R-HSA-5689880;Reactome: R-HSA-8949215	"Ub-specific processing proteases";"Mitochondrial calcium ion transport"
Dcitr02g0556011	1	Reactome: R-HSA-156588	"Glucuronidation"
Dcitr06g0689011	1	Reactome: R-HSA-72163	"mRNA Splicing - Major Pathway"
Dcitr04g0547011	1	Reactome: R-HSA-400253	"Circadian Clock"
Dcitr01g2260011	2	Reactome: R-HSA-3928665;Reactome: R-HSA-2682334	"EPH-ephrin mediated repulsion of cells";"EPH-Ephrin signaling"
Dcitr11g0786011	2	Reactome: R-HSA-70263;Reactome: R-HSA-71403	"Gluconeogenesis";"Citric acid cycle (TCA cycle)"
Dcitr03g1395011	3	Reactome: R-HSA-5419276;Reactome: R-HSA-5368286;Reactome: R-HSA-5389840	"Mitochondrial translation termination";"Mitochondrial translation initiation";"Mitochondrial translation elongation"
Dcitr02g1514011	11	Reactome: R-HSA-2132295;Reactome: R-HSA-380320;Reactome: R-HSA-8854518;Reactome: R-HSA-380259;Reactome: R-HSA-6807878;Reactome: R-HSA-5620912;Reactome: R-HSA-380284;Reactome: R-HSA-2565942;Reactome: R-HSA-3371497;Reactome: R-HSA-380270;Reactome: R-HSA-6811436	"MHC class II antigen presentation";"Recruitment of NuMA to mitotic centrosomes";"AURKA Activation by TPX2";"Loss of Nlp from mitotic centrosomes";"COPI-mediated anterograde transport";"Anchoring of the basal body to the plasma membrane";"Loss of proteins required for interphase microtubule organization from the centrosome";"Regulation of PLK1 Activity at G2/M Transition";"HSP90 chaperone cycle for steroid hormone receptors (SHR)";"Recruitment of mitotic centrosome proteins and complexes";"COPI-independent Golgi-to-ER retrograde traffic"
Dcitr09g0861011	2	Reactome: R-HSA-1442490;Reactome: R-HSA-1474228	"Collagen degradation";"Degradation of the extracellular matrix"
Dcitr05g1154011	15	Reactome: R-HSA-975957;Reactome: R-HSA-72706;Reactome: R-HSA-1799339;Reactome: R-HSA-156827;Reactome: R-HSA-9010553;Reactome: R-HSA-6791226;Reactome: R-HSA-72689;Reactome: R-HSA-72702;Reactome: R-HSA-975956;Reactome: R-HSA-156902;Reactome: R-HSA-192823;Reactome: R-HSA-72649;Reactome: R-HSA-72764;Reactome: R-HSA-72695;Reactome: R-HSA-2408557	"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)";"GTP hydrolysis and joining of the 60S ribosomal subunit";"SRP-dependent cotranslational protein targeting to membrane";"L13a-mediated translational silencing of Ceruloplasmin expression";"Regulation of expression of SLITs and ROBOs";"Major pathway of rRNA processing in the nucleolus and cytosol";"Formation of a pool of free 40S subunits";"Ribosomal scanning and start codon recognition";"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)";"Peptide chain elongation";"Viral mRNA Translation";"Translation initiation complex formation";"Eukaryotic Translation Termination";"Formation of the ternary complex, and subsequently, the 43S complex";"Selenocysteine synthesis"
Dcitr12g0741012	1	Reactome: R-HSA-6784531	"tRNA processing in the nucleus"
Dcitr03g1941011	1	Reactome: R-HSA-156588	"Glucuronidation"
Dcitr04g0436011	2	Reactome: R-HSA-156581;Reactome: R-HSA-72764	"Methylation";"Eukaryotic Translation Termination"
Dcitr11g0502012	2	Reactome: R-HSA-204005;Reactome: R-HSA-8876198	"COPII-mediated vesicle transport";"RAB GEFs exchange GTP for GDP on RABs"
Dcitr09g0750012	1	Reactome: R-HSA-5689896	"Ovarian tumor domain proteases"
Dcitr01g1942012	3	Reactome: R-HSA-5628897;Reactome: R-HSA-210500;Reactome: R-HSA-8964539	"TP53 Regulates Metabolic Genes";"Glutamate Neurotransmitter Release Cycle";"Glutamate and glutamine metabolism"
Dcitr03g0763011	1	Reactome: R-HSA-72163	"mRNA Splicing - Major Pathway"
Dcitr09g0230011	1	Reactome: R-HSA-189200	"Cellular hexose transport"
Dcitr07g0692011	5	Reactome: R-HSA-983712;Reactome: R-HSA-1222556;Reactome: R-HSA-917977;Reactome: R-HSA-9639288;Reactome: R-HSA-77387	"Ion channel transport";"ROS and RNS production in phagocytes";"Transferrin endocytosis and recycling";"Amino acids regulate mTORC1";"Insulin receptor recycling"
Dcitr00g1283011	2	Reactome: R-HSA-6799198;Reactome: R-HSA-611105	"Complex I biogenesis";"Respiratory electron transport"
Dcitr09g0441011	1	Reactome: R-HSA-6787639	"GDP-fucose biosynthesis"
Dcitr06g0623011	2	Reactome: R-HSA-9020702;Reactome: R-HSA-6798695	"Interleukin-1 signaling";"Neutrophil degranulation"
