Accession_ID	GO_Count	BP_GO_IDs	BP_GO_Names	MF_GO_IDs	MF_GO_Names	CC_GO_IDs	CC_GO_Names
Dcitr02g1688011	2					GO:0016021;GO:0016020	"integral component of membrane";"membrane"
Dcitr03g2043011	3	GO:0016579;GO:0006511	"protein deubiquitination";"ubiquitin-dependent protein catabolic process"	GO:0036459	"thiol-dependent ubiquitinyl hydrolase activity"		
Dcitr07g0467015	2	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"		
Dcitr09g0237011	1					GO:0030991	"intraciliary transport particle A"
Dcitr09g0600011	1			GO:0003723	"RNA binding"		
Dcitr01g0190011	2			GO:0061630	"ubiquitin protein ligase activity"	GO:0072487	"MSL complex"
Dcitr04g1298011	3	GO:0055085	"transmembrane transport"	GO:0042626	"ATPase-coupled transmembrane transporter activity"	GO:0016021	"integral component of membrane"
Dcitr03g1944011	1	GO:0000956	"nuclear-transcribed mRNA catabolic process"				
Dcitr11g0292011	2	GO:0006891	"intra-Golgi vesicle-mediated transport"			GO:0017119	"Golgi transport complex"
Dcitr04g0708011	2	GO:0006887	"exocytosis"			GO:0000145	"exocyst"
Dcitr05g1505011	3	GO:0007411;GO:0007417	"axon guidance";"central nervous system development"	GO:0005089	"Rho guanyl-nucleotide exchange factor activity"		
Dcitr01g1891011	1					GO:0016021	"integral component of membrane"
Dcitr11g0913012	5	GO:0006813	"potassium ion transport"	GO:0005516;GO:0015269;GO:0016286	"calmodulin binding";"calcium-activated potassium channel activity";"small conductance calcium-activated potassium channel activity"	GO:0016021	"integral component of membrane"
Dcitr05g0162011	2			GO:0032977	"membrane insertase activity"	GO:0016021	"integral component of membrane"
Dcitr01g1130011	1			GO:0005509	"calcium ion binding"		
Dcitr01g0911011	1			GO:0008013	"beta-catenin binding"		
Dcitr12g0127011	4	GO:0051259;GO:0097428	"protein complex oligomerization";"protein maturation by iron-sulfur cluster transfer"	GO:0051087;GO:0001671	"chaperone binding";"ATPase activator activity"		
Dcitr03g0977011	1			GO:0016758	"transferase activity, transferring hexosyl groups"		
Dcitr02g1585011	3	GO:0006412	"translation"	GO:0003735	"structural constituent of ribosome"	GO:0005840	"ribosome"
Dcitr05g1667011	5	GO:0006488	"dolichol-linked oligosaccharide biosynthetic process"	GO:0042281;GO:0016758	"dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity";"transferase activity, transferring hexosyl groups"	GO:0005789;GO:0005783	"endoplasmic reticulum membrane";"endoplasmic reticulum"
Dcitr08g1017012	2	GO:0019722	"calcium-mediated signaling"	GO:0005509	"calcium ion binding"		
Dcitr12g0257014	2	GO:0016567	"protein ubiquitination"	GO:0008270	"zinc ion binding"		
Dcitr07g0951011	3	GO:0006355	"regulation of transcription, DNA-templated"	GO:0043565;GO:0003677	"sequence-specific DNA binding";"DNA binding"		
Dcitr03g1848011	7	GO:0006348;GO:0006325;GO:0016573	"chromatin silencing at telomere";"chromatin organization";"histone acetylation"	GO:0042393;GO:0004402;GO:0008080	"histone binding";"histone acetyltransferase activity";"N-acetyltransferase activity"	GO:0005634	"nucleus"
Dcitr09g0123011	4	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003700;GO:0046983	"DNA-binding transcription factor activity";"protein dimerization activity"	GO:0005667	"transcription factor complex"
Dcitr10g1005011	1	GO:0006629	"lipid metabolic process"				
Dcitr03g0294011	1			GO:0003779	"actin binding"		
Dcitr01g1402011	5	GO:0006013;GO:0005975	"mannose metabolic process";"carbohydrate metabolic process"	GO:0030246;GO:0003824;GO:0004559	"carbohydrate binding";"catalytic activity";"alpha-mannosidase activity"		
Dcitr08g0540011	6	GO:0034220;GO:0006811	"ion transmembrane transport";"ion transport"	GO:0004888;GO:0005230;GO:0005216	"transmembrane signaling receptor activity";"extracellular ligand-gated ion channel activity";"ion channel activity"	GO:0016021	"integral component of membrane"
Dcitr02g1096011	3	GO:0006468	"protein phosphorylation"	GO:0005524;GO:0004672	"ATP binding";"protein kinase activity"		
Dcitr06g0951015	3	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016021	"integral component of membrane"
Dcitr03g0520011	2	GO:0045454	"cell redox homeostasis"	GO:0008080	"N-acetyltransferase activity"		
Dcitr13g0260011	3	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016020	"membrane"
Dcitr09g0348011	3	GO:0006750	"glutathione biosynthetic process"	GO:0003824;GO:0004357	"catalytic activity";"glutamate-cysteine ligase activity"		
Dcitr00g0762011	3	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003700;GO:0003677	"DNA-binding transcription factor activity";"DNA binding"		
Dcitr01g1274011	7	GO:0035556;GO:0006355;GO:0006468	"intracellular signal transduction";"regulation of transcription, DNA-templated";"protein phosphorylation"	GO:0004672;GO:0004674;GO:0016787;GO:0005524	"protein kinase activity";"protein serine/threonine kinase activity";"hydrolase activity";"ATP binding"		
Dcitr12g0899011	2			GO:0016887;GO:0005524	"ATPase activity";"ATP binding"		
Dcitr02g0258011	3	GO:0016255	"attachment of GPI anchor to protein"			GO:0042765;GO:0016021	"GPI-anchor transamidase complex";"integral component of membrane"
Dcitr01g0533012	1					GO:0016021	"integral component of membrane"
Dcitr03g1183011	3	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003677;GO:0043565	"DNA binding";"sequence-specific DNA binding"		
Dcitr08g0534011	2	GO:0006486	"protein glycosylation"			GO:0016020	"membrane"
Dcitr10g0713011	3	GO:0006904;GO:0090522	"vesicle docking involved in exocytosis";"vesicle tethering involved in exocytosis"			GO:0000145	"exocyst"
Dcitr08g0139011	2			GO:0008061	"chitin binding"	GO:0005576	"extracellular region"
Dcitr04g0388011	2	GO:0006357	"regulation of transcription by RNA polymerase II"	GO:0001085	"RNA polymerase II transcription factor binding"		
Dcitr09g0179011	4	GO:0006357;GO:0040034	"regulation of transcription by RNA polymerase II";"regulation of development, heterochronic"	GO:0000981;GO:0003676	"DNA-binding transcription factor activity, RNA polymerase II-specific";"nucleic acid binding"		
Dcitr00g1253011	1			GO:0003824	"catalytic activity"		
Dcitr08g0873011	1			GO:0003676	"nucleic acid binding"		
Dcitr01g1116013	1			GO:0003676	"nucleic acid binding"		
Dcitr07g0615011	2	GO:0019722	"calcium-mediated signaling"	GO:0003676	"nucleic acid binding"		
Dcitr07g0309012	1			GO:0004672	"protein kinase activity"		
Dcitr02g1351011	1			GO:0003998	"acylphosphatase activity"		
Dcitr05g0829011	2	GO:0006351	"transcription, DNA-templated"	GO:0003714	"transcription corepressor activity"		
Dcitr03g0930011	4	GO:0055114	"oxidation-reduction process"	GO:0004656;GO:0016702	"procollagen-proline 4-dioxygenase activity";"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen"	GO:0005783	"endoplasmic reticulum"
Dcitr07g1263011	2	GO:0006508	"proteolysis"	GO:0004252	"serine-type endopeptidase activity"		
Dcitr01g1148011	1			GO:0003676	"nucleic acid binding"		
Dcitr10g1048011	2			GO:0003676	"nucleic acid binding"	GO:0005634	"nucleus"
Dcitr00g0145011	1			GO:0005524	"ATP binding"		
Dcitr01g0912011	4	GO:0055114	"oxidation-reduction process"	GO:0016627;GO:0050660;GO:0003995	"oxidoreductase activity, acting on the CH-CH group of donors";"flavin adenine dinucleotide binding";"acyl-CoA dehydrogenase activity"		
Dcitr03g1834011	4	GO:0032185;GO:0007266;GO:0007165	"septin cytoskeleton organization";"Rho protein signal transduction";"signal transduction"	GO:0017049	"GTP-Rho binding"		
Dcitr11g0777011	3	GO:0006457	"protein folding"	GO:0051082;GO:0005524	"unfolded protein binding";"ATP binding"		
Dcitr01g0254011	2	GO:0007165	"signal transduction"	GO:0060090	"molecular adaptor activity"		
Dcitr03g0344011	2	GO:0006850	"mitochondrial pyruvate transmembrane transport"			GO:0005743	"mitochondrial inner membrane"
Dcitr04g0682011	1	GO:0008053	"mitochondrial fusion"				
Dcitr09g0824013	1			GO:0003676	"nucleic acid binding"		
Dcitr06g1549011	2	GO:0006508	"proteolysis"	GO:0004252	"serine-type endopeptidase activity"		
Dcitr02g0854011	4	GO:0009451;GO:0001522	"RNA modification";"pseudouridine synthesis"	GO:0003723;GO:0009982	"RNA binding";"pseudouridine synthase activity"		
Dcitr02g0444011	3	GO:0006468	"protein phosphorylation"	GO:0005524;GO:0004672	"ATP binding";"protein kinase activity"		
Dcitr10g0805012	3	GO:0006096	"glycolytic process"	GO:0003824;GO:0004807	"catalytic activity";"triose-phosphate isomerase activity"		
Dcitr13g0254011	2	GO:0031087	"deadenylation-independent decapping of nuclear-transcribed mRNA"	GO:0003729	"mRNA binding"		
Dcitr00g0527011	3	GO:0006468	"protein phosphorylation"	GO:0005524;GO:0004672	"ATP binding";"protein kinase activity"		
Dcitr03g1831012	2			GO:0003677;GO:0008270	"DNA binding";"zinc ion binding"		
Dcitr01g1722011	4	GO:0006468	"protein phosphorylation"	GO:0004672;GO:0004713;GO:0005524	"protein kinase activity";"protein tyrosine kinase activity";"ATP binding"		
Dcitr08g0926014	2	GO:0006812	"cation transport"	GO:0008324	"cation transmembrane transporter activity"		
Dcitr10g0572011	1			GO:0005509	"calcium ion binding"		
Dcitr02g1605011	4	GO:0006468	"protein phosphorylation"	GO:0004672;GO:0004674;GO:0005524	"protein kinase activity";"protein serine/threonine kinase activity";"ATP binding"		
Dcitr09g0273011	2	GO:0005975	"carbohydrate metabolic process"	GO:0016757	"transferase activity, transferring glycosyl groups"		
Dcitr03g1667011	3	GO:0006412	"translation"	GO:0003735	"structural constituent of ribosome"	GO:0005840	"ribosome"
Dcitr03g0529011	3	GO:0008654	"phospholipid biosynthetic process"	GO:0016780	"phosphotransferase activity, for other substituted phosphate groups"	GO:0016020	"membrane"
Dcitr05g0670011	2			GO:0005509;GO:0005544	"calcium ion binding";"calcium-dependent phospholipid binding"		
Dcitr08g0449012	1			GO:0003676	"nucleic acid binding"		
Dcitr02g0736014	6	GO:0006139	"nucleobase-containing compound metabolic process"	GO:0005524;GO:0016776;GO:0019205;GO:0004017	"ATP binding";"phosphotransferase activity, phosphate group as acceptor";"nucleobase-containing compound kinase activity";"adenylate kinase activity"	GO:0005739	"mitochondrion"
Dcitr02g1389011	1					GO:0016021	"integral component of membrane"
Dcitr05g1417011	3	GO:0008033	"tRNA processing"	GO:0003824;GO:0004526	"catalytic activity";"ribonuclease P activity"		
Dcitr04g0312011	5	GO:0019752;GO:0006520	"carboxylic acid metabolic process";"cellular amino acid metabolic process"	GO:0030170;GO:0003824;GO:0016831	"pyridoxal phosphate binding";"catalytic activity";"carboxy-lyase activity"		
Dcitr00g0409011	1			GO:0016788	"hydrolase activity, acting on ester bonds"		
Dcitr03g1041011	4	GO:0006468	"protein phosphorylation"	GO:0005524;GO:0004713;GO:0004672	"ATP binding";"protein tyrosine kinase activity";"protein kinase activity"		
Dcitr01g0711011	3	GO:0006166	"purine ribonucleoside salvage"	GO:0016773;GO:0004001	"phosphotransferase activity, alcohol group as acceptor";"adenosine kinase activity"		
Dcitr08g0440011	1			GO:0042302	"structural constituent of cuticle"		
Dcitr07g0978011	2	GO:0006508	"proteolysis"	GO:0008234	"cysteine-type peptidase activity"		
Dcitr13g0684011	1					GO:0016021	"integral component of membrane"
Dcitr01g0465011	7	GO:0035556;GO:0006182;GO:0009190;GO:0006508	"intracellular signal transduction";"cGMP biosynthetic process";"cyclic nucleotide biosynthetic process";"proteolysis"	GO:0004252;GO:0020037;GO:0004383	"serine-type endopeptidase activity";"heme binding";"guanylate cyclase activity"		
Dcitr05g0853011	1	GO:0006486	"protein glycosylation"				
Dcitr04g1574011	1	GO:0007411	"axon guidance"				
Dcitr08g0524011	4	GO:0019752	"carboxylic acid metabolic process"	GO:0016831;GO:0003824;GO:0030170	"carboxy-lyase activity";"catalytic activity";"pyridoxal phosphate binding"		
Dcitr07g1308011	2	GO:0007093	"mitotic cell cycle checkpoint"			GO:1990423	"RZZ complex"
Dcitr04g1474011	1	GO:0016480	"negative regulation of transcription by RNA polymerase III"				
Dcitr00g0331011	1			GO:0008080	"N-acetyltransferase activity"		
Dcitr00g0858011	4	GO:0055085;GO:0030001	"transmembrane transport";"metal ion transport"	GO:0046873	"metal ion transmembrane transporter activity"	GO:0016020	"membrane"
Dcitr02g0433012	1			GO:0005524	"ATP binding"		
Dcitr08g1018011	3	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003677;GO:0043565	"DNA binding";"sequence-specific DNA binding"		
Dcitr06g1231011	2	GO:0005975	"carbohydrate metabolic process"	GO:0004649	"poly(ADP-ribose) glycohydrolase activity"		
Dcitr09g0643011	5	GO:0006412;GO:0006511	"translation";"ubiquitin-dependent protein catabolic process"	GO:0004843;GO:0003735	"thiol-dependent ubiquitin-specific protease activity";"structural constituent of ribosome"	GO:0005840	"ribosome"
Dcitr05g1313011	2			GO:0005525;GO:0003924	"GTP binding";"GTPase activity"		
Dcitr05g0924011	1			GO:0003677	"DNA binding"		
Dcitr08g1035011	5	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003677;GO:0043565;GO:0003700	"DNA binding";"sequence-specific DNA binding";"DNA-binding transcription factor activity"	GO:0005634	"nucleus"
Dcitr01g1535011	3	GO:0006139	"nucleobase-containing compound metabolic process"	GO:0003676;GO:0008408	"nucleic acid binding";"3'-5' exonuclease activity"		
Dcitr03g1346011	3	GO:0006412	"translation"	GO:0003735	"structural constituent of ribosome"	GO:0005840	"ribosome"
Dcitr02g0905011	3	GO:0007186	"G protein-coupled receptor signaling pathway"	GO:0004965	"G protein-coupled GABA receptor activity"	GO:0016021	"integral component of membrane"
Dcitr09g0797011	2			GO:0005085	"guanyl-nucleotide exchange factor activity"	GO:0005856	"cytoskeleton"
Dcitr12g0842011	6	GO:0006099	"tricarboxylic acid cycle"	GO:0000104;GO:0009055;GO:0016627	"succinate dehydrogenase activity";"electron transfer activity";"oxidoreductase activity, acting on the CH-CH group of donors"	GO:0016020;GO:0045281	"membrane";"succinate dehydrogenase complex"
Dcitr04g1502012	4	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016021;GO:0016020	"integral component of membrane";"membrane"
Dcitr13g0125011	1			GO:0003676	"nucleic acid binding"		
Dcitr01g1280011	1	GO:0046907	"intracellular transport"				
Dcitr06g0559012	1					GO:0005634	"nucleus"
Dcitr01g1218011	1	GO:0044237	"cellular metabolic process"				
Dcitr12g0969011	1			GO:0003676	"nucleic acid binding"		
Dcitr02g0835011	3	GO:0007186	"G protein-coupled receptor signaling pathway"	GO:0004930	"G protein-coupled receptor activity"	GO:0016021	"integral component of membrane"
Dcitr13g0624012	2			GO:0008270;GO:0004089	"zinc ion binding";"carbonate dehydratase activity"		
Dcitr00g0887011	3	GO:0006468	"protein phosphorylation"	GO:0004672;GO:0005524	"protein kinase activity";"ATP binding"		
Dcitr12g0541011	2	GO:0009166	"nucleotide catabolic process"	GO:0016787	"hydrolase activity"		
Dcitr05g0792011	3	GO:0018344	"protein geranylgeranylation"	GO:0004663;GO:0003824	"Rab geranylgeranyltransferase activity";"catalytic activity"		
Dcitr12g0395011	1			GO:0003824	"catalytic activity"		
Dcitr05g1677011	1			GO:0003676	"nucleic acid binding"		
Dcitr07g1117011	3	GO:0097010	"eukaryotic translation initiation factor 4F complex assembly"	GO:0033592;GO:0003676	"RNA strand annealing activity";"nucleic acid binding"		
Dcitr01g1667011	3	GO:0016051	"carbohydrate biosynthetic process"	GO:0008146	"sulfotransferase activity"	GO:0016021	"integral component of membrane"
Dcitr00g0903011	1			GO:0008017	"microtubule binding"		
Dcitr04g1408011	1			GO:0004867	"serine-type endopeptidase inhibitor activity"		
Dcitr00g1037011	3	GO:0006685	"sphingomyelin catabolic process"	GO:0016787;GO:0004767	"hydrolase activity";"sphingomyelin phosphodiesterase activity"		
Dcitr08g1037011	1			GO:0035091	"phosphatidylinositol binding"		
Dcitr12g0924011	2					GO:0005747;GO:0005739	"mitochondrial respiratory chain complex I";"mitochondrion"
Dcitr03g0375011	2	GO:0006508	"proteolysis"	GO:0004252	"serine-type endopeptidase activity"		
Dcitr00g0663011	2	GO:0006744	"ubiquinone biosynthetic process"			GO:0005743	"mitochondrial inner membrane"
Dcitr07g0861011	2	GO:0006415	"translational termination"	GO:0003747	"translation release factor activity"		
Dcitr07g0150011	3	GO:0001507	"acetylcholine catabolic process in synaptic cleft"	GO:0003990;GO:0004104	"acetylcholinesterase activity";"cholinesterase activity"		
Dcitr02g1818011	1					GO:0005634	"nucleus"
Dcitr05g0961011	4	GO:0055114;GO:0045454	"oxidation-reduction process";"cell redox homeostasis"	GO:0016971;GO:0016972	"flavin-linked sulfhydryl oxidase activity";"thiol oxidase activity"		
Dcitr07g0765011	2	GO:0031929	"TOR signaling"			GO:0031931	"TORC1 complex"
Dcitr13g0106011	4	GO:0006481	"C-terminal protein methylation"	GO:0004671	"protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity"	GO:0005783;GO:0016021	"endoplasmic reticulum";"integral component of membrane"
Dcitr01g1054011	3	GO:0008654	"phospholipid biosynthetic process"	GO:0004609	"phosphatidylserine decarboxylase activity"	GO:0005739	"mitochondrion"
Dcitr04g1247011	1	GO:0042254	"ribosome biogenesis"				
Dcitr07g1019011	1					GO:0005615	"extracellular space"
Dcitr00g0816012	1			GO:0016798	"hydrolase activity, acting on glycosyl bonds"		
Dcitr07g0746011	5	GO:0007017	"microtubule-based process"	GO:0003924;GO:0005525;GO:0005200	"GTPase activity";"GTP binding";"structural constituent of cytoskeleton"	GO:0005874	"microtubule"
Dcitr02g1988011	4	GO:0006351	"transcription, DNA-templated"	GO:0003677;GO:0003899	"DNA binding";"DNA-directed 5'-3' RNA polymerase activity"	GO:0042025	"host cell nucleus"
Dcitr03g0329012	3	GO:0006826;GO:0006879	"iron ion transport";"cellular iron ion homeostasis"	GO:0008199	"ferric iron binding"		
Dcitr02g0453011	1					GO:0031083	"BLOC-1 complex"
Dcitr03g0892011	1			GO:0003676	"nucleic acid binding"		
Dcitr09g0683011	1			GO:0003676	"nucleic acid binding"		
Dcitr01g0846011	6	GO:0034220;GO:0006811	"ion transmembrane transport";"ion transport"	GO:0004888;GO:0005230;GO:0005216	"transmembrane signaling receptor activity";"extracellular ligand-gated ion channel activity";"ion channel activity"	GO:0016021	"integral component of membrane"
Dcitr04g0490011	5	GO:0006614	"SRP-dependent cotranslational protein targeting to membrane"	GO:0003924;GO:0008312;GO:0005525	"GTPase activity";"7S RNA binding";"GTP binding"	GO:0048500	"signal recognition particle"
Dcitr07g0637012	3	GO:0050912	"detection of chemical stimulus involved in sensory perception of taste"	GO:0008527	"taste receptor activity"	GO:0016021	"integral component of membrane"
Dcitr00g1161011	2	GO:0006464	"cellular protein modification process"	GO:0004719	"protein-L-isoaspartate (D-aspartate) O-methyltransferase activity"		
Dcitr08g0446011	1					GO:0016020	"membrane"
Dcitr09g0143011	1	GO:0023052	"signaling"				
Dcitr05g1673011	4	GO:0008299	"isoprenoid biosynthetic process"	GO:0005524;GO:0004496	"ATP binding";"mevalonate kinase activity"	GO:0005737	"cytoplasm"
Dcitr01g1934011	3	GO:0006281;GO:0006310	"DNA repair";"DNA recombination"	GO:0009378	"four-way junction helicase activity"		
Dcitr03g0641011	1					GO:0005856	"cytoskeleton"
Dcitr01g1308011	3	GO:0006355	"regulation of transcription, DNA-templated"			GO:0030015;GO:0042025	"CCR4-NOT core complex";"host cell nucleus"
Dcitr03g0897011	3	GO:0006457	"protein folding"	GO:0051082;GO:0005524	"unfolded protein binding";"ATP binding"		
Dcitr12g0317011	3	GO:0006397	"mRNA processing"	GO:0003723;GO:0003676	"RNA binding";"nucleic acid binding"		
Dcitr01g2055011	2	GO:0015074	"DNA integration"	GO:0003676	"nucleic acid binding"		
Dcitr07g1236013	3	GO:0006508	"proteolysis"	GO:0008237;GO:0004222	"metallopeptidase activity";"metalloendopeptidase activity"		
Dcitr01g2173011	1	GO:0061138	"morphogenesis of a branching epithelium"				
Dcitr03g0859011	1	GO:0006397	"mRNA processing"				
Dcitr02g0675011	11	GO:0006418;GO:0006433;GO:0043039;GO:0006424;GO:0006412	"tRNA aminoacylation for protein translation";"prolyl-tRNA aminoacylation";"tRNA aminoacylation";"glutamyl-tRNA aminoacylation";"translation"	GO:0004818;GO:0004812;GO:0004827;GO:0005524;GO:0000166	"glutamate-tRNA ligase activity";"aminoacyl-tRNA ligase activity";"proline-tRNA ligase activity";"ATP binding";"nucleotide binding"	GO:0005737	"cytoplasm"
Dcitr05g0118011	2			GO:0005520	"insulin-like growth factor binding"	GO:0005576	"extracellular region"
Dcitr09g0371011	1	GO:0009116	"nucleoside metabolic process"				
Dcitr11g0758011	2	GO:0006508	"proteolysis"	GO:0004252	"serine-type endopeptidase activity"		
Dcitr07g1217011	3	GO:0015986	"ATP synthesis coupled proton transport"	GO:0015078	"proton transmembrane transporter activity"	GO:0045263	"proton-transporting ATP synthase complex, coupling factor F(o)"
Dcitr03g1519012	4	GO:0006488	"dolichol-linked oligosaccharide biosynthetic process"	GO:0052824;GO:0016757	"dolichyl-pyrophosphate Man7GlcNAc2 alpha-1,6-mannosyltransferase activity";"transferase activity, transferring glycosyl groups"	GO:0005788	"endoplasmic reticulum lumen"
Dcitr06g0664011	1	GO:0007034	"vacuolar transport"				
Dcitr05g0845011	3	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003700;GO:0043565	"DNA-binding transcription factor activity";"sequence-specific DNA binding"		
Dcitr03g0871012	3	GO:0043065	"positive regulation of apoptotic process"			GO:0005740;GO:0016021	"mitochondrial envelope";"integral component of membrane"
Dcitr03g1343011	4	GO:0055114	"oxidation-reduction process"	GO:0020037;GO:0005506;GO:0016705	"heme binding";"iron ion binding";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"		
Dcitr08g0843011	3	GO:0030036;GO:0016043	"actin cytoskeleton organization";"cellular component organization"	GO:0003779	"actin binding"		
Dcitr03g0354011	1			GO:0008270	"zinc ion binding"		
Dcitr12g0911011	2	GO:0006751	"glutathione catabolic process"	GO:0036374	"glutathione hydrolase activity"		
Dcitr04g0449011	7	GO:0055085;GO:0006874;GO:0006811	"transmembrane transport";"cellular calcium ion homeostasis";"ion transport"	GO:0005219;GO:0005216	"ryanodine-sensitive calcium-release channel activity";"ion channel activity"	GO:0016021;GO:0016020	"integral component of membrane";"membrane"
Dcitr07g0182011	1			GO:0003676	"nucleic acid binding"		
Dcitr13g0410011	1			GO:0003676	"nucleic acid binding"		
Dcitr07g0938011	6	GO:0055085;GO:0008272	"transmembrane transport";"sulfate transport"	GO:0008271;GO:0015116	"secondary active sulfate transmembrane transporter activity";"sulfate transmembrane transporter activity"	GO:0016020;GO:0016021	"membrane";"integral component of membrane"
Dcitr05g0516011	2			GO:0008270;GO:0003676	"zinc ion binding";"nucleic acid binding"		
Dcitr01g1239011	2			GO:0016409;GO:0015095	"palmitoyltransferase activity";"magnesium ion transmembrane transporter activity"		
Dcitr04g0441011	2	GO:0042256	"mature ribosome assembly"	GO:0043022	"ribosome binding"		
Dcitr08g0866012	2	GO:0006281	"DNA repair"	GO:0004518	"nuclease activity"		
Dcitr04g0316011	2	GO:0006644	"phospholipid metabolic process"	GO:0008195	"phosphatidate phosphatase activity"		
Dcitr04g0868011	1			GO:0003676	"nucleic acid binding"		
Dcitr02g1975012	1			GO:0004842	"ubiquitin-protein transferase activity"		
Dcitr13g0257011	1					GO:0030014	"CCR4-NOT complex"
Dcitr00g1043011	2			GO:0016887;GO:0005524	"ATPase activity";"ATP binding"		
Dcitr12g0690011	2	GO:0006508	"proteolysis"	GO:0004222	"metalloendopeptidase activity"		
Dcitr01g1384011	5	GO:0006355;GO:0030182;GO:0042491	"regulation of transcription, DNA-templated";"neuron differentiation";"inner ear auditory receptor cell differentiation"	GO:0043565;GO:0046983	"sequence-specific DNA binding";"protein dimerization activity"		
Dcitr02g0787011	1					GO:0016021	"integral component of membrane"
Dcitr08g1113011	1			GO:0003676	"nucleic acid binding"		
Dcitr00g0972011	4	GO:0006606	"protein import into nucleus"	GO:0061608	"nuclear import signal receptor activity"	GO:0005737;GO:0042025	"cytoplasm";"host cell nucleus"
Dcitr04g0587011	3	GO:0007165	"signal transduction"	GO:0004114;GO:0008081	"3',5'-cyclic-nucleotide phosphodiesterase activity";"phosphoric diester hydrolase activity"		
Dcitr08g0430011	3	GO:0006633	"fatty acid biosynthetic process"	GO:0005524;GO:0003989	"ATP binding";"acetyl-CoA carboxylase activity"		
Dcitr04g1393011	3	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016021	"integral component of membrane"
Dcitr07g0803011	5	GO:0006165;GO:0006241;GO:0006228;GO:0006183	"nucleoside diphosphate phosphorylation";"CTP biosynthetic process";"UTP biosynthetic process";"GTP biosynthetic process"	GO:0004550	"nucleoside diphosphate kinase activity"		
Dcitr08g0601011	1					GO:0016021	"integral component of membrane"
Dcitr05g0302011	4	GO:0016311;GO:0006470	"dephosphorylation";"protein dephosphorylation"	GO:0004725;GO:0016791	"protein tyrosine phosphatase activity";"phosphatase activity"		
Dcitr09g0413011	1			GO:0043130	"ubiquitin binding"		
Dcitr08g0745011	2			GO:0008061	"chitin binding"	GO:0005576	"extracellular region"
Dcitr04g1414011	1			GO:0042302	"structural constituent of cuticle"		
Dcitr05g0107011	2	GO:0006508	"proteolysis"	GO:0004185	"serine-type carboxypeptidase activity"		
Dcitr06g1140011	3	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003700;GO:0043565	"DNA-binding transcription factor activity";"sequence-specific DNA binding"		
Dcitr02g0870011	2	GO:0042147	"retrograde transport, endosome to Golgi"			GO:0000938	"GARP complex"
Dcitr12g0983012	2	GO:0050909	"sensory perception of taste"			GO:0016021	"integral component of membrane"
Dcitr01g0561011	4	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016020;GO:0016021	"membrane";"integral component of membrane"
Dcitr04g1421011	2			GO:0008270;GO:0046872	"zinc ion binding";"metal ion binding"		
Dcitr01g2130011	1			GO:0005509	"calcium ion binding"		
Dcitr05g0280011	2	GO:0006357	"regulation of transcription by RNA polymerase II"	GO:0003700	"DNA-binding transcription factor activity"		
Dcitr01g0394011	3			GO:0003676;GO:0003723;GO:0046872	"nucleic acid binding";"RNA binding";"metal ion binding"		
Dcitr04g1243011	1	GO:0045454	"cell redox homeostasis"				
Dcitr00g1264012	2	GO:0006839	"mitochondrial transport"			GO:0031966	"mitochondrial membrane"
Dcitr06g0111014	2	GO:0006777;GO:0032324	"Mo-molybdopterin cofactor biosynthetic process";"molybdopterin cofactor biosynthetic process"				
Dcitr06g1430011	4	GO:0006465	"signal peptide processing"	GO:0008233	"peptidase activity"	GO:0005787;GO:0016021	"signal peptidase complex";"integral component of membrane"
Dcitr13g0288011	1	GO:0035556	"intracellular signal transduction"				
Dcitr08g0173011	1			GO:0042302	"structural constituent of cuticle"		
Dcitr04g1263011	2	GO:0006281	"DNA repair"	GO:0003684	"damaged DNA binding"		
Dcitr02g1888011	1					GO:0008180	"COP9 signalosome"
Dcitr03g0843013	1			GO:0080019	"fatty-acyl-CoA reductase (alcohol-forming) activity"		
Dcitr07g1105011	1					GO:0016021	"integral component of membrane"
Dcitr01g1715011	2			GO:0031625	"ubiquitin protein ligase binding"	GO:0005783	"endoplasmic reticulum"
Dcitr05g1039011	3			GO:0000977;GO:0032422;GO:0003676	"RNA polymerase II regulatory region sequence-specific DNA binding";"purine-rich negative regulatory element binding";"nucleic acid binding"		
Dcitr05g0391011	2	GO:0006529	"asparagine biosynthetic process"	GO:0004066	"asparagine synthase (glutamine-hydrolyzing) activity"		
